template_cluster_id,cluster_size,record_id,source_file,similar_record_ids,similarity_score,cluster_severity,shared_skeleton_excerpt,metadata_context,template_pattern_type,original_text_similarity,masked_skeleton_similarity,ngram_similarity,weighted_section_similarity,section_similarities,variable_substitutions,cluster_cohesion,cluster_edge_density,supporting_connections,review_explanation,exclusion_reason,title,journal,publication_year,article_type
TPL-0002,4,rw35486,rw35486.xml,rw24026 | rw24065 | rw35051,0.909,candidate,"rw24026 this article has been retracted, and the online pdf replaced with this retraction notice.",journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2018; authors=4; affiliations=1; schema=article,reordered_or_partial_template,0.8,0.848,0.909,0.0,,gene: CBM-220951 -> none; number: 10.3233 | 220951 -> none,0.921,1.0,3,"Reordered Or Partial Template candidate; masked=0.848, original=0.800, ngram=0.909, weighted_sections=0.000, median_cluster_similarity=0.921, edge_density=1.000.",,MicroRNA-185 inhibits cell proliferation while promoting apoptosis and autophagy through negative regulation of TGF-β1/mTOR axis and HOXC6 in nasopharyngeal carcinoma,Journal of Clinical Oncology,2018,Biology - Cancer
TPL-0003,4,rw24695,rw24695.xml,rw24696 | rw24698 | rw24699,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=5; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,"Long Noncoding RNA TUNAR Represses Growth, Migration, and Invasion of Human Glioma Cells Through Regulating miR-200a and Rac1",Journal of Clinical Oncology,2018,Biochemistry
TPL-0003,4,rw24696,rw24696.xml,rw24695 | rw24698 | rw24699,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=3; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,miR-630 Inhibits Epithelial-to-Mesenchymal Transition (EMT) by Regulating the Wnt/β-Catenin Pathway in Gastric Cancer Cells,Journal of Clinical Oncology,2018,Biochemistry
TPL-0003,4,rw24698,rw24698.xml,rw24695 | rw24696 | rw24699,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=5; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,Knockdown of Long Noncoding RNA LINC00152 Suppresses Cellular Proliferation and Invasion in Glioma Cells by Regulating miR-4775,Journal of Clinical Oncology,2018,Biochemistry
TPL-0003,4,rw24699,rw24699.xml,rw24695 | rw24696 | rw24698,0.909,candidate,rw24695 this article was withdrawn by the publishers in october <num>.,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=3; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,Overexpression of MicroRNA-34a-5p Inhibits Proliferation and Promotes Apoptosis of Human Cervical Cancer Cells by Downregulation of Bcl-2,Journal of Clinical Oncology,2018,Biochemistry
TPL-0004,4,rw24700,rw24700.xml,rw26870 | rw26871 | rw26872,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2018; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,Downregulation of SRC Kinase Signaling Inhibitor 1 (SRCIN1) Expression by MicroRNA-32 Promotes Proliferation and Epithelial‐Mesenchymal Transition in Human Liver Cancer Cells,Journal of Clinical Oncology,2018,Biochemistry
TPL-0004,4,rw26870,rw26870.xml,rw24700 | rw26871 | rw26872,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2016; authors=6; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,MicroRNA-16-1 Inhibits Tumor Cell Proliferation and Induces Apoptosis in A549 Non-Small Cell Lung Carcinoma Cells,Journal of Clinical Oncology,2016,Biochemistry
TPL-0004,4,rw26871,rw26871.xml,rw24700 | rw26870 | rw26872,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2016; authors=4; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,MicroRNA-223 Promotes Tumor Progression in Lung Cancer A549 Cells via Activation of the NF-κB Signaling Pathway,Journal of Clinical Oncology,2016,Biochemistry
TPL-0004,4,rw26872,rw26872.xml,rw24700 | rw26870 | rw26871,0.909,candidate,rw24700 this article was withdrawn by the publisher in november <num>,journal=Journal of Clinical Oncology; type=Biochemistry; year=2016; authors=4; affiliations=1; schema=article,masked_near_duplicate,0.909,0.909,0.857,0.0,,,0.909,1.0,3,"Masked Near Duplicate candidate; masked=0.909, original=0.909, ngram=0.857, weighted_sections=0.000, median_cluster_similarity=0.909, edge_density=1.000.",,Upregulation of MicroRNA-935 Promotes the Malignant Behaviors of Pancreatic Carcinoma PANC-1 Cells via Targeting Inositol Polyphosphate 4-Phosphatase Type I Gene (INPP4A),Journal of Clinical Oncology,2016,Biochemistry
TPL-0005,2,rw32798,rw32798.xml,rw32802,0.783,candidate,several figures and text within the methods section are strikingly similar to those in other publications <num>–<num> and suggests that same party prepared these papers for entirely different author sets.,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2015; authors=4; affiliations=1; schema=article,reordered_or_partial_template,0.693,0.71,0.783,0.0,,number: 2015 | 30 | 8 | 330 -> 1 | 2015 | 30 | 7,0.783,1.0,1,"Reordered Or Partial Template candidate; masked=0.710, original=0.693, ngram=0.783, weighted_sections=0.000, median_cluster_similarity=0.783, edge_density=1.000.",,Lentivirus-Mediated Knockdown of Myosin VI Inhibits Cell Proliferation of Breast Cancer Cell,Journal of Clinical Oncology,2015,Biology - Cancer
TPL-0005,2,rw32802,rw32802.xml,rw32798,0.783,candidate,several figures and text within the methods section are strikingly similar to those in other publications <num>–<num> and suggests that same party prepared these papers for entirely different author sets.,journal=Journal of Clinical Oncology; type=Biology - Cancer; year=2015; authors=10; affiliations=1; schema=article,reordered_or_partial_template,0.693,0.71,0.783,0.0,,number: 1 | 2015 | 30 | 7 -> 2015 | 30 | 8 | 330,0.783,1.0,1,"Reordered Or Partial Template candidate; masked=0.710, original=0.693, ngram=0.783, weighted_sections=0.000, median_cluster_similarity=0.783, edge_density=1.000.",,Immature Colon Carcinoma Transcript 1 Is Essential for Prostate Cancer Cell Viability and Proliferation,Journal of Clinical Oncology,2015,Biology - Cancer
