csv_line,record_id,abstract_id,output_file,title,status,message
26,52720.0,rw52720,rw52720.xml,Meta analysis of clinical prognosis of radiofrequency ablation versus partial nephrectomy in the treatment of early renal cell carcinoma,created,abstract-preservation check passed
27,52647.0,rw52647,rw52647.xml,SIRT6 Overexpression Induces Apoptosis of Nasopharyngeal Carcinoma by Inhibiting NF-κB Signaling,created,abstract-preservation check passed
28,52602.0,rw52602,rw52602.xml,Coronin 3 Promotes the Development of Oncogenic Properties in Glioma Through the Wnt/β-Catenin Signaling Pathway,created,abstract-preservation check passed
29,52392.0,rw52392,rw52392.xml,"Swainsonine represses glioma cell proliferation, migration and invasion by reduction of miR-92a expression",created,abstract-preservation check passed
30,52333.0,rw52333,rw52333.xml,SHP-2 Interacts with CD81 and Regulates the Malignant Evolution of Colorectal Cancer by Inhibiting Epithelial-Mesenchymal Transition,created,abstract-preservation check passed
31,52332.0,rw52332,rw52332.xml,The lncRNA LINC01194/miR-486-5p Axis Facilitates Malignancy in Non-Small Cell Lung Cancer via Regulating CDK4,created,abstract-preservation check passed
32,51853.0,rw51853,rw51853.xml,Effects of Blood Purification on Serum Levels of Inflammatory Cytokines and Cardiac Function in a Rat Model of Sepsis,created,abstract-preservation check passed
33,51693.0,rw51693,rw51693.xml,Long non-coding RNA ARAP1-AS1 promotes tumorigenesis and metastasis through facilitating proto-oncogene c-Myc translation via dissociating PSF/PTB dimer in cervical cancer,created,abstract-preservation check passed
34,50384.0,rw50384,rw50384.xml,Study on Attenuating Angiogenesis and Epithelial-Mesenchymal Transition (EMT) of Non-Small Cell Lung Carcinoma (NSCLC) by Regulating MAGEC2,created,abstract-preservation check passed
35,50124.0,rw50124,rw50124.xml,Hsa_circ_0008945 Promoted Breast Cancer Progression by Targeting miR-338-3p,created,abstract-preservation check passed
36,49934.0,rw49934,rw49934.xml,LncRNA FTX Promotes Proliferation and Invasion of Gastric Cancer via miR-144/ZFX Axis,created,abstract-preservation check passed
37,49890.0,rw49890,rw49890.xml,LINC00261 Inhibits Esophageal Cancer Radioresistance by Down-Regulating microRNA-552-3p and Promoting DIRAS1,created,abstract-preservation check passed
38,49802.0,rw49802,rw49802.xml,Prognosis and Biological Function of miR-3195 in Non-Small Cell Lung Cancer,created,abstract-preservation check passed
39,49801.0,rw49801,rw49801.xml,LINC-PINT Inhibited Malignant Progression of Bladder Cancer by Targeting miR-155-5p,created,abstract-preservation check passed
40,49683.0,rw49683,rw49683.xml,Continuous Blood Purification Ameliorates Multiple Organ Failure Through Inhibiting the Activation of the P38 MAPK Signaling Pathway in a Rat Model,created,abstract-preservation check passed
41,49316.0,rw49316,rw49316.xml,Long Non-Coding RNA ZNF667-AS1 Knockdown Curbs Liver Metastasis in Acute Myeloid Leukemia by Regulating the microRNA-206/AKAP13 Axis,created,abstract-preservation check passed
42,48578.0,rw48578,rw48578.xml,MicroRNA-188-5p Promotes Epithelial-Mesenchymal Transition by Targeting ID4 Through Wnt/β-Catenin Signaling in Retinoblastoma,created,abstract-preservation check passed
43,48525.0,rw48525,rw48525.xml,LncRNA SNHG7 Functions as an Oncogene in Cervical Cancer by Sponging miR-485-5p to Modulate JUND Expression,created,abstract-preservation check passed
44,48523.0,rw48523,rw48523.xml,LncRNA EWSAT1 Promotes Colorectal Cancer Progression Through Sponging miR-326 to Modulate FBXL20 Expression,created,abstract-preservation check passed
45,48519.0,rw48519,rw48519.xml,Identification of Osteosarcoma Metastasis-Associated Gene Biomarkers and Potentially Targeted Drugs Based on Bioinformatic and Experimental Analysis,created,abstract-preservation check passed
46,48517.0,rw48517,rw48517.xml,"Long Non-Coding RNA LEF1-AS1 Promotes Migration, Invasion and Metastasis of Colon Cancer Cells Through miR-30-5p/SOX9 Axis",created,abstract-preservation check passed
47,47524.0,rw47524,rw47524.xml,HOXA7 plays a critical role in metastasis of liver cancer associated with activation of Snail,created,abstract-preservation check passed
48,47518.0,rw47518,rw47518.xml,Targeting a novel LncRNA SNHG15/miR-451/c-Myc signaling cascade is effective to hamper the pathogenesis of breast cancer (BC) in vitro and in vivo,created,abstract-preservation check passed
49,47415.0,rw47415,rw47415.xml,Silencing of long non-coding RNA XIST represses gastric cancer progression through blocking NFκB pathway via inhibiting HNF4A-mediated transcription of EPHA1,created,abstract-preservation check passed
50,47378.0,rw47378,rw47378.xml,CAR-NK Cell: a new paradigm in tumor immunotherapy,created,abstract-preservation check passed
51,47094.0,rw47094,rw47094.xml,Histone methyltransferase SUV39H2 regulates LSD1-dependent CDH1 expression and promotes epithelial mesenchymal transition of osteosarcoma,created,abstract-preservation check passed
52,46836.0,rw46836,rw46836.xml,APLNR promotes the progression of osteosarcoma by stimulating cell proliferation and invasion,created,abstract-preservation check passed
53,46812.0,rw46812,rw46812.xml,Long Intergenic Non-Coding RNA LINC00885 Promotes Tumorigenesis of Cervical Cancer by Upregulating MACC1 Expression Through Serving as a Competitive Endogenous RNA for microRNA-432-5p,created,abstract-preservation check passed
54,46790.0,rw46790,rw46790.xml,LncRNA XIST Depletion Prevents Cancer Progression in Invasive Pituitary Neuroendocrine Tumor by Inhibiting bFGF via Upregulation of microRNA-424-5p,created,abstract-preservation check passed
55,46603.0,rw46603,rw46603.xml,Long Intergenic Non-Protein Coding RNA 519 Promotes the Biological Activities of Tongue Squamous Cell Carcinoma by Sponging microRNA-876-3p and Consequently Upregulating MACC1,created,abstract-preservation check passed
56,46596.0,rw46596,rw46596.xml,"Long Noncoding RNA FGD5-AS1 Promotes Glioma Cell Proliferation, Migration and Invasion by Regulating Wnt/β-Catenin Pathway",created,abstract-preservation check passed
57,46431.0,rw46431,rw46431.xml,LINC00504 Promotes the Malignant Biological Behavior of Breast Cancer Cells by Upregulating HMGB3 via Decoying MicroRNA-876-3p,created,abstract-preservation check passed
58,46093.0,rw46093,rw46093.xml,Long Noncoding RNA VPS9D1-AS1 Sequesters microRNA-525-5p to Promote the Oncogenicity of Colorectal Cancer Cells by Upregulating HMGA1,created,abstract-preservation check passed
59,46092.0,rw46092,rw46092.xml,Long Noncoding RNA ST7-AS1 Upregulates TRPM7 Expression by Sponging microRNA-543 to Promote Cervical Cancer Progression,created,abstract-preservation check passed
60,46075.0,rw46075,rw46075.xml,Long Non-Coding RNA CASC19 Sponges MicroRNA-532 and Promotes Oncogenicity of Clear Cell Renal Cell Carcinoma by Increasing ETS1 Expression,created,abstract-preservation check passed
61,46072.0,rw46072,rw46072.xml,Circular RNA CircCDYL Regulates Proliferation and Apoptosis in Non-Small Cell Lung Cancer Cells by Sponging miR-185-5p and Upregulating TNRC6A,created,abstract-preservation check passed
62,46070.0,rw46070,rw46070.xml,Long Noncoding RNA CCDC144NL-AS1 Promotes the Oncogenicity of Osteosarcoma by Acting as a Molecular Sponge for microRNA-490-3p and Thereby Increasing HMGA2 Expression,created,abstract-preservation check passed
63,46068.0,rw46068,rw46068.xml,LncRNA MCM3AP-AS1 Promotes Cell Proliferation and Invasion Through Regulating miR-543-3p/SLC39A10/PTEN Axis in Prostate Cancer,created,abstract-preservation check passed
64,46038.0,rw46038,rw46038.xml,Circular RNA circ-CSPP1 regulates CCNE2 to facilitate hepatocellular carcinoma cell growth via sponging miR-577,created,abstract-preservation check passed
65,45403.0,rw45403,rw45403.xml,A natural food sweetener with anti-pancreatic cancer properties,created,abstract-preservation check passed
66,45374.0,rw45374,rw45374.xml,LINC00958 Promotes the Malignancy of Nasopharyngeal Carcinoma by Sponging microRNA-625 and Thus Upregulating NUAK1,created,abstract-preservation check passed
67,45352.0,rw45352,rw45352.xml,MiR-138-5p Inhibits the Proliferation of Gastric Cancer Cells by Targeting DEK,created,abstract-preservation check passed
68,45014.0,rw45014,rw45014.xml,"TRIM11 overexpression promotes proliferation, migration and invasion of lung cancer cells",created,abstract-preservation check passed
69,44871.0,rw44871,rw44871.xml,circ_001504 promotes the development of renal cell carcinoma by sponging microRNA-149 to increase NUCB2,created,abstract-preservation check passed
70,44689.0,rw44689,rw44689.xml,LINC00565 Enhances Proliferative Ability in Endometrial Carcinoma by Downregulating KLF9,created,abstract-preservation check passed
71,44567.0,rw44567,rw44567.xml,"Portulacerebroside a Inhibits Adhesion, Migration, and Invasion of Human Leukemia HL60 Cells and U937 Cells through the Regulation of p38/JNK Signaling Pathway",created,abstract-preservation check passed
72,44559.0,rw44559,rw44559.xml,Overexpression of NR4A1 is associated with tumor recurrence and poor survival in non-small-cell lung carcinoma,created,abstract-preservation check passed
73,44498.0,rw44498,rw44498.xml,KIF4A Promotes Clear Cell Renal Cell Carcinoma (ccRCC) Proliferation in vitro and in vivo,created,abstract-preservation check passed
74,44096.0,rw44096,rw44096.xml,MicroRNA-296 Targets Specificity Protein 1 to Suppress Cell Proliferation and Invasion in Cervical Cancer,created,abstract-preservation check passed
75,44073.0,rw44073,rw44073.xml,LncRNA NEAT1 enhances the radio-resistance of cervical cancer via miR-193b-3p/CCND1 axis,created,abstract-preservation check passed
76,44023.0,rw44023,rw44023.xml,Melatonin enhances TNF-α-mediated cervical cancer HeLa cells death via suppressing CaMKII/Parkin/mitophagy axis,created,abstract-preservation check passed
77,43945.0,rw43945,rw43945.xml,Large tumor suppressor kinase 2 overexpression attenuates 5-FU-resistance in colorectal cancer via activating the JNK-MIEF1-mitochondrial division pathway,created,abstract-preservation check passed
78,43944.0,rw43944,rw43944.xml,Mst1 overexpression combined with Yap knockdown augments thyroid carcinoma apoptosis via promoting MIEF1-related mitochondrial fission and activating the JNK pathway,created,abstract-preservation check passed
79,43808.0,rw43808,rw43808.xml,MicroRNA-143-3p Suppresses Tumorigenesis by Targeting Catenin-δ1 in Colorectal Cancer,created,abstract-preservation check passed
80,43729.0,rw43729,rw43729.xml,Exosome-mediated transfer of lncRNA PART1 induces gefitinib resistance in esophageal squamous cell carcinoma via functioning as a competing endogenous RNA,created,abstract-preservation check passed
81,43500.0,rw43500,rw43500.xml,Tripartite motif-containing 14 (TRIM14) promotes epithelial-mesenchymal transition via ZEB2 in glioblastoma cells,created,abstract-preservation check passed
82,43223.0,rw43223,rw43223.xml,Methylation-induced downregulation and tumor suppressive role of microRNA-29b in gastric cancer through targeting LASP1,created,abstract-preservation check passed
83,43183.0,rw43183,rw43183.xml,Circ_002117 binds to microRNA-370 and promotes endoplasmic reticulum stress-induced apoptosis in gastric cancer,created,abstract-preservation check passed
84,42461.0,rw42461,rw42461.xml,Long Noncoding RNA LINC01426 Sequesters microRNA-519d-5p to Promote Non-Small Cell Lung Cancer Progression by Increasing ETS1 Expression,created,abstract-preservation check passed
85,42248.0,rw42248,rw42248.xml,Hsa-miR-139-5p inhibits proliferation and causes apoptosis associated with down-regulation of c-Met,created,abstract-preservation check passed
86,42206.0,rw42206,rw42206.xml,MiR-19-3p Induces Tumor Cell Apoptosis via Targeting FAS in Rectal Cancer Cells,created,abstract-preservation check passed
87,42014.0,rw42014,rw42014.xml,Exosomes from the tumour-adipocyte interplay stimulate beige/brown differentiation and reprogram metabolism in stromal adipocytes to promote tumour progression,created,abstract-preservation check passed
88,42013.0,rw42013,rw42013.xml,SP1-induced lncRNA AGAP2-AS1 expression promotes chemoresistance of breast cancer by epigenetic regulation of MyD88,created,abstract-preservation check passed
89,41837.0,rw41837,rw41837.xml,8-bromo-7-methoxychrysin targets NF-κB and FoxM1 to inhibit lung cancer stem cells induced by pro-inflammatory factors,created,abstract-preservation check passed
90,41228.0,rw41228,rw41228.xml,Circular RNA PVT1 Promotes the Invasion and Epithelial-Mesenchymal Transition of Breast Cancer Cells through Serving as a Competing Endogenous RNA for miR-204-5p,created,abstract-preservation check passed
91,41209.0,rw41209,rw41209.xml,"Schizandrin A inhibits proliferation, migration and invasion of thyroid cancer cell line TPC-1 by down regulation of microRNA-429",created,abstract-preservation check passed
92,41208.0,rw41208,rw41208.xml,"MicroRNA-146-5p promotes proliferation, migration and invasion in lung cancer cells by targeting claudin-12",created,abstract-preservation check passed
93,41207.0,rw41207,rw41207.xml,Knockdown of lncRNA CCAT2 inhibits endometrial cancer cells growth and metastasis via sponging miR-216b,created,abstract-preservation check passed
94,41193.0,rw41193,rw41193.xml,KLF7 Promotes Gastric Carcinogenesis Through Regulation of ANTXR1,created,abstract-preservation check passed
95,41094.0,rw41094,rw41094.xml,TUSC3 induces autophagy in human non-small cell lung cancer cells through Wnt/β-catenin signaling,created,abstract-preservation check passed
96,40922.0,rw40922,rw40922.xml,miR-96-5p Suppresses the Progression of Nasopharyngeal Carcinoma by Targeting CDK1,created,abstract-preservation check passed
97,40366.0,rw40366,rw40366.xml,"Long non-coding RNA AGAP2-AS1, functioning as a competitive endogenous RNA, upregulates ANXA11 expression by sponging miR-16-5p and promotes proliferation and metastasis in hepatocellular carcinoma",created,abstract-preservation check passed
98,40269.0,rw40269,rw40269.xml,Mucin 4 Gene Silencing Reduces Oxidative Stress and Calcium Oxalate Crystal Formation in Renal Tubular Epithelial Cells through the Extracellular Signal-Regulated Kinase Signaling Pathway in Nephrolithiasis Rat Model,created,abstract-preservation check passed
99,40205.0,rw40205,rw40205.xml,Tim-4 promotes the growth of colorectal cancer by activating angiogenesis and recruiting tumor-associated macrophages via the PI3K/AKT/mTOR signaling pathway,created,abstract-preservation check passed
100,40198.0,rw40198,rw40198.xml,Long non-coding RNA LINC00160 functions as a decoy of microRNA-132 to mediate autophagy and drug resistance in hepatocellular carcinoma via inhibition of PIK3R3,created,abstract-preservation check passed
101,40057.0,rw40057,rw40057.xml,"Mechanism of MicroRNA-708 Targeting BAMBI in Cell Proliferation, Migration, and Apoptosis in Mice With Melanoma via the Wnt and TGF-β Signaling Pathways",created,abstract-preservation check passed
102,40035.0,rw40035,rw40035.xml,LncMAPK6 drives MAPK6 expressionand liver TIC self-renewal,created,abstract-preservation check passed
103,39502.0,rw39502,rw39502.xml,MicroRNA-152 inhibits tumor cell growth while inducing apoptosis via the transcriptional repression of cathepsin L in gastrointestinal stromal tumor,created,abstract-preservation check passed
104,39501.0,rw39501,rw39501.xml,Long non-coding RNA HULC promotes bladder cancer cells proliferation but inhibits apoptosis via regulation of ZIC2 and PI3K/AKT signaling pathway,created,abstract-preservation check passed
105,39495.0,rw39495,rw39495.xml,MicroRNA-1246 inhibits cell invasion and epithelial mesenchymal transition process by targeting CXCR4 in lung cancer cells,created,abstract-preservation check passed
106,39272.0,rw39272,rw39272.xml,MicroRNA-212 Inhibits Hepatocellular Carcinoma Cell Proliferation and Induces Apoptosis by Targeting FOXA1,created,abstract-preservation check passed
107,39271.0,rw39271,rw39271.xml,Long Noncoding RNA KCNMB2-AS1 Increases ROCK1 Expression by Sponging microRNA-374a-3p to Facilitate the Progression of Non–Small-Cell Lung Cancer,created,abstract-preservation check passed
108,39269.0,rw39269,rw39269.xml,LncRNA NOP14-AS1 Promotes Tongue Squamous Cell Carcinoma Progression by Targeting MicroRNA-665/HMGB3 Axis,created,abstract-preservation check passed
109,39267.0,rw39267,rw39267.xml,Long Noncoding RNA LINC00525 Promotes the Aggressive Phenotype of Chordoma Through Acting as a microRNA-505-3p Sponge and Consequently Raising HMGB1 Expression,created,abstract-preservation check passed
110,39210.0,rw39210,rw39210.xml,MicroRNA-433 inhibits oral squamous cell carcinoma cells by targeting FAK,created,abstract-preservation check passed
111,38995.0,rw38995,rw38995.xml,"MicroRNA-182 downregulates Wnt/β-catenin signaling, inhibits proliferation, and promotes apoptosis in human osteosarcoma cells by targeting HOXA9",created,abstract-preservation check passed
112,38890.0,rw38890,rw38890.xml,K-ras-ERK1/2 down-regulates H2A.XY142ph through WSTF to promote the progress of gastric cancer,created,abstract-preservation check passed
113,38603.0,rw38603,rw38603.xml,Long Non-Coding RNA LINC00239 Functions as a Competitive Endogenous RNA by Sponging microRNA-484 and Enhancing KLF12 Expression to Promote the Oncogenicity of Colorectal Cancer,created,abstract-preservation check passed
114,38555.0,rw38555,rw38555.xml,Linc00210 drives Wnt/β-catenin signaling activation and liver tumor progression through CTNNBIP1-dependent manner,created,abstract-preservation check passed
115,38325.0,rw38325,rw38325.xml,Meg3 Induces EMT and Invasion of Glioma Cells via Autophagy,created,abstract-preservation check passed
116,38047.0,rw38047,rw38047.xml,MicroRNA-497 inhibits thyroid cancer tumor growth and invasion by suppressing BDNF,created,abstract-preservation check passed
117,37827.0,rw37827,rw37827.xml,Long non-coding RNA TPT1-AS1 promotes cell growth and metastasis in cervical cancer via acting AS a sponge for miR-324-5p,created,abstract-preservation check passed
118,37672.0,rw37672,rw37672.xml,miR-199a-5p suppresses epithelial- mesenchymal-transition in anaplastic thyroid carcinoma cells via targeting Snail signals,created,abstract-preservation check passed
119,37654.0,rw37654,rw37654.xml,Silencing of LINC01116 Suppresses the Development of Oral Squamous Cell Carcinoma by up-Regulating microRNA-136 to Inhibit FN1,created,abstract-preservation check passed
120,37362.0,rw37362,rw37362.xml,"Silencing circZFR Inhibits the Proliferation, Migration and Invasion of Human Renal Carcinoma Cells by Regulating miR-206",created,abstract-preservation check passed
121,36509.0,rw36509,rw36509.xml,The Silencing of LncRNA-H19 Decreases Chemoresistance of Human Glioma Cells to Temozolomide by Suppressing Epithelial-Mesenchymal Transition via the Wnt/β-Catenin Pathway,created,abstract-preservation check passed
122,36400.0,rw36400,rw36400.xml,Down-regulated lncRNA DLX6-AS1 inhibits tumorigenesis through STAT3 signaling pathway by suppressing CADM1 promoter methylation in liver cancer stem cells,created,abstract-preservation check passed
123,36293.0,rw36293,rw36293.xml,"Identification of novel signaling components in N,N'-Dinitrosopiperazine-mediated metastasis of nasopharyngeal Carcinoma by quantitative phosphoproteomics",created,abstract-preservation check passed
124,35486.0,rw35486,rw35486.xml,MicroRNA-185 inhibits cell proliferation while promoting apoptosis and autophagy through negative regulation of TGF-β1/mTOR axis and HOXC6 in nasopharyngeal carcinoma,created,abstract-preservation check passed
125,35249.0,rw35249,rw35249.xml,Knockdown of Hsa_circ_0000729 Inhibits the Tumorigenesis of Non-Small Cell Lung Cancer Through Mediation of miR-1281/FOXO3 Axis,created,abstract-preservation check passed
126,35248.0,rw35248,rw35248.xml,LINC00908 Promotes Diffuse Large B-Cell Lymphoma Development by Down-Regulating miR-671-5p,created,abstract-preservation check passed
127,35224.0,rw35224,rw35224.xml,Long Non-Coding RNA LINC00466 Knockdown Inhibits Tongue Squamous Cell Carcinoma Malignancy by Targeting microRNA-493/HMGA2,created,abstract-preservation check passed
128,35223.0,rw35223,rw35223.xml,Knockdown of Long Noncoding RNA 00152 (LINC00152) Inhibits Human Retinoblastoma Progression,created,abstract-preservation check passed
129,35051.0,rw35051,rw35051.xml,Effects of exogenous IL-37 on the biological characteristics of human lung adenocarcinoma A549 cells and the chemotaxis of regulatory T cells,created,abstract-preservation check passed
130,34959.0,rw34959,rw34959.xml,Downregulation of hsa_circ_0001836 Induces Pyroptosis Cell Death in Glioma Cells via Epigenetically Upregulating NLRP1,created,abstract-preservation check passed
131,34958.0,rw34958,rw34958.xml,miRNA-193a-3p Regulates the AKT2 Pathway to Inhibit the Growth and Promote the Apoptosis of Glioma Cells by Targeting ALKBH5,created,abstract-preservation check passed
132,34957.0,rw34957,rw34957.xml,LncRNA SNHG19 Promotes the Development of Non-Small Cell Lung Cancer via Mediating miR-137/E2F7 Axis,created,abstract-preservation check passed
133,34956.0,rw34956,rw34956.xml,lncRNA-XLOC_012370 Promotes the Development of Pancreatic Cancer and Inactivates the NF-κB Pathway Through miR-140-5p,created,abstract-preservation check passed
134,34955.0,rw34955,rw34955.xml,LINC00337 Regulates KLF5 and Maintains Stem-Cell Like Traits of Cervical Cancer Cells by Modulating miR-145,created,abstract-preservation check passed
135,34953.0,rw34953,rw34953.xml,LncRNA DLX6-AS1 Promotes Malignant Phenotype and Lymph Node Metastasis in Prostate Cancer by Inducing LARGE Methylation,created,abstract-preservation check passed
136,34952.0,rw34952,rw34952.xml,Exosomal MicroRNA-221-3p Confers Adriamycin Resistance in Breast Cancer Cells by Targeting PIK3R1,created,abstract-preservation check passed
137,34951.0,rw34951,rw34951.xml,MicroRNA-27 Inhibits Autophagy and Promotes Proliferation of Multiple Myeloma Cells by Targeting the NEDD4/Notch1 Axis,created,abstract-preservation check passed
138,34106.0,rw34106,rw34106.xml,SNHG8 is Upregulated in Esophageal Squamous Cell Carcinoma and Directly Sponges microRNA-411 to Increase Oncogenicity by Upregulating KPNA2,created,abstract-preservation check passed
139,33488.0,rw33488,rw33488.xml,Long Intergenic Non-Coding RNA LINC00922 Aggravates the Malignant Phenotype of Breast Cancer by Regulating the microRNA-424-5p/BDNF Axis,created,abstract-preservation check passed
140,33486.0,rw33486,rw33486.xml,Long Non-Coding RNA HAND2-AS1 Inhibits Growth and Migration of Gastric Cancer Cells Through Regulating the miR-590-3p/KCNT2 Axis,created,abstract-preservation check passed
141,33485.0,rw33485,rw33485.xml,MicroRNA-675 Directly Targets MAPK1 to Suppress the Oncogenicity of Papillary Thyroid Cancer and is Sponged by Long Non-Coding RNA RMRP,created,abstract-preservation check passed
142,33483.0,rw33483,rw33483.xml,MicroRNA-936 targets FGF2 to inhibit epithelial ovarian cancer aggressiveness by deactivating the PI3K/Akt pathway,created,abstract-preservation check passed
143,33475.0,rw33475,rw33475.xml,Long Noncoding RNA LINC00839 Promotes the Malignant Progression of Osteosarcoma by Competitively Binding to MicroRNA-454-3p and Consequently Increasing c-Met Expression,created,abstract-preservation check passed
144,33360.0,rw33360,rw33360.xml,"Beraprost Sodium, a Stable Analogue of PGI2, Inhibits the Renin-Angiotensin System in the Renal Tissues of Rats with Chronic Renal Failure",created,abstract-preservation check passed
145,33334.0,rw33334,rw33334.xml,"Downregulation of Long Noncoding RNA HOTAIR and EZH2 Induces Apoptosis and Inhibits Proliferation, Invasion, and Migration of Human Breast Cancer Cells",created,abstract-preservation check passed
146,33114.0,rw33114,rw33114.xml,Silencing of MEOX1 Gene Inhibits Proliferation and Promotes Apoptosis of LNCaP Cells in Prostate Cancer,created,abstract-preservation check passed
147,33037.0,rw33037,rw33037.xml,MicroRNA-618 Directly Targets Metadherin mRNA to Suppress the Malignant Phenotype of Osteosarcoma Cells by Reducing PTEN-AKT Pathway Output,created,abstract-preservation check passed
148,33036.0,rw33036,rw33036.xml,MicroRNA-769-5p Inhibits Pancreatic Ductal Adenocarcinoma Progression by Directly Targeting and Downregulating ETS Proto-Oncogene 1,created,abstract-preservation check passed
149,33027.0,rw33027,rw33027.xml,LINC01224 Exhibits Cancer-Promoting Activity in Epithelial Ovarian Cancer Through microRNA-485-5p-Mediated PAK4 Upregulation,created,abstract-preservation check passed
150,32987.0,rw32987,rw32987.xml,Long Noncoding RNA X-Inactive Specific Transcript Facilitates Cellular Functions in Melanoma via miR-139-5p/ROCK1 Pathway,created,abstract-preservation check passed
151,32985.0,rw32985,rw32985.xml,Long Non-Coding RNA LINC00491 Contributes to the Malignancy of Non-Small-Cell Lung Cancer via Competitively Binding to microRNA-324-5p and Thereby Increasing Specificity Protein 1 Expression,created,abstract-preservation check passed
152,32984.0,rw32984,rw32984.xml,Long Noncoding RNA LINC00173 Promotes the Malignancy of Melanoma by Promoting the Expression of IRS4 Through Competitive Binding to microRNA-493,created,abstract-preservation check passed
153,32983.0,rw32983,rw32983.xml,Long Non-Coding RNA UBA6-AS1 Promotes the Malignant Properties of Glioblastoma by Competitively Binding to microRNA-760 and Enhancing Homeobox A2 Expression,created,abstract-preservation check passed
