template_cluster_id,cluster_size,record_id,source_file,similar_record_ids,similarity_score,cluster_severity,shared_skeleton_excerpt,metadata_context,template_pattern_type,original_text_similarity,masked_skeleton_similarity,ngram_similarity,weighted_section_similarity,section_similarities,variable_substitutions,cluster_cohesion,cluster_edge_density,supporting_connections,review_explanation,exclusion_reason,title,journal,publication_year,article_type
TPL-0003,4,synT011,synT011.xml,synT009 | synT010 | synT012,0.939,candidate,"analytical sensitivity, specificity, precision, reproducibility, reportable range, and limit of detection were evaluated with reference materials, contrived specimens, and residual clinical samples.",journal=Journal of Clinical Oncology; type=Gastrointestinal Cancer—Colorectal; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.796,0.86,0.672,0.874,background=0.872; conclusions=0.832; methods=0.811; results=0.939,percent: 0.35% | 95.8% | 98.7% | 8.1% -> 0.20% | 98.5% | 99.4% | 6.2%; gene: SEPT9 | SEPT9 | SEPT9 -> ESR1 | ESR1 | ESR1; number: 12 | 0.35 | 95.8 | 98.7 -> 12 | 8 | 0.20 | 98.5,0.932,1.0,3,"Shared Section candidate; masked=0.860, original=0.796, ngram=0.672, weighted_sections=0.874, median_cluster_similarity=0.932, edge_density=1.000.",,Analytical validation of a methylation-specific PCR assay for SEPT9 in colorectal cancer.,Journal of Clinical Oncology,2026,Gastrointestinal Cancer—Colorectal
TPL-0003,4,synT012,synT012.xml,synT009 | synT010 | synT011,0.941,candidate,"analytical sensitivity, specificity, precision, reproducibility, reportable range, and limit of detection were evaluated with reference materials, contrived specimens, and residual clinical samples.",journal=Journal of Clinical Oncology; type=Gynecologic Cancer—Ovarian; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.764,0.818,0.685,0.841,background=0.759; conclusions=0.750; methods=0.817; results=0.941,percent: 2.0% | 96.4% | 99.0% | 5.9% -> 0.20% | 98.5% | 99.4% | 6.2%; gene: BRCA1 | BRCA1 | BRCA1 -> ESR1 | ESR1 | ESR1; number: 2 | 2 | 24 | 40 -> 12 | 8 | 0.20 | 98.5,0.932,1.0,3,"Shared Section candidate; masked=0.818, original=0.764, ngram=0.685, weighted_sections=0.841, median_cluster_similarity=0.932, edge_density=1.000.",,Analytical validation of a hybrid-capture panel for BRCA1/2 and homologous recombination deficiency in ovarian cancer.,Journal of Clinical Oncology,2026,Gynecologic Cancer—Ovarian
TPL-0004,4,synT013,synT013.xml,synT014 | synT015 | synT016,0.821,candidate,"marker abundance was compared within patients, and associations with clinical outcomes were explored using nonparametric tests paired samples from <num> patients passed quality control.",journal=Journal of Clinical Oncology; type=Breast Cancer—Metastatic; year=2026; authors=3; affiliations=3; schema=article,reordered_or_partial_template,0.785,0.821,0.588,0.819,background=0.846; conclusions=0.800; methods=0.840; results=0.816,pvalue: p=0.08 -> p=0.06; percent: 24% | 18% -> 19% | 31%; gene: TROP2 | TROP2 | TROP2 | TROP2 -> none; drug: sacituzumab | sacituzumab | sacituzumab -> none; number: 32 | 5.8 | 2 | 140 -> 27 | 6.6 | 185 | 19,0.808,1.0,3,"Reordered Or Partial Template candidate; masked=0.821, original=0.785, ngram=0.588, weighted_sections=0.819, median_cluster_similarity=0.808, edge_density=1.000.",,Paired-biopsy analysis of TROP2 expression before and after sacituzumab govitecan in metastatic breast cancer.,Journal of Clinical Oncology,2026,Breast Cancer—Metastatic
TPL-0004,4,synT014,synT014.xml,synT013 | synT015 | synT016,0.805,candidate,"marker abundance was compared within patients, and associations with clinical outcomes were explored using nonparametric tests paired samples from <num> patients passed quality control.",journal=Journal of Clinical Oncology; type=Melanoma/Skin Cancers; year=2026; authors=3; affiliations=3; schema=article,reordered_or_partial_template,0.769,0.801,0.552,0.798,background=0.853; conclusions=0.805; methods=0.845; results=0.755,pvalue: p=0.04 -> p=0.08; percent: 18% | 22% -> 24% | 18%; gene: PD-1 | PD-1 | PD-1 -> TROP2 | TROP2 | TROP2 | TROP2; drug: none -> sacituzumab | sacituzumab | sacituzumab; number: 1 | 1 | 29 | 7.1 -> 32 | 5.8 | 2 | 140,0.808,1.0,3,"Reordered Or Partial Template candidate; masked=0.801, original=0.769, ngram=0.552, weighted_sections=0.798, median_cluster_similarity=0.808, edge_density=1.000.",,Paired-biopsy analysis of PD-L1 expression before and after anti-PD-1 therapy in metastatic melanoma.,Journal of Clinical Oncology,2026,Melanoma/Skin Cancers
TPL-0004,4,synT015,synT015.xml,synT013 | synT014 | synT016,0.818,candidate,"marker abundance was compared within patients, and associations with clinical outcomes were explored using nonparametric tests paired samples from <num> patients passed quality control.",journal=Journal of Clinical Oncology; type=Lung Cancer—Non-Small Cell Metastatic; year=2026; authors=3; affiliations=3; schema=article,reordered_or_partial_template,0.767,0.818,0.577,0.813,background=0.872; conclusions=0.795; methods=0.843; results=0.797,pvalue: p=0.03 -> p=0.08; percent: 38% | 17% -> 24% | 18%; gene: none -> TROP2 | TROP2 | TROP2 | TROP2; drug: osimertinib | osimertinib | osimertinib -> sacituzumab | sacituzumab | sacituzumab; number: 35 | 12.9 | 1.3 | 38 -> 32 | 5.8 | 2 | 140,0.808,1.0,3,"Reordered Or Partial Template candidate; masked=0.818, original=0.767, ngram=0.577, weighted_sections=0.813, median_cluster_similarity=0.808, edge_density=1.000.",,Paired-biopsy analysis of MET expression before and after osimertinib in EGFR-mutated lung cancer.,Journal of Clinical Oncology,2026,Lung Cancer—Non-Small Cell Metastatic
TPL-0004,4,synT016,synT016.xml,synT013 | synT014 | synT015,0.821,candidate,"marker abundance was compared within patients, and associations with clinical outcomes were explored using nonparametric tests paired samples from <num> patients passed quality control.",journal=Journal of Clinical Oncology; type=Genitourinary Cancer—Prostate; year=2026; authors=3; affiliations=3; schema=article,reordered_or_partial_template,0.785,0.821,0.588,0.819,background=0.846; conclusions=0.800; methods=0.840; results=0.816,pvalue: p=0.06 -> p=0.08; percent: 19% | 31% -> 24% | 18%; gene: none -> TROP2 | TROP2 | TROP2 | TROP2; drug: none -> sacituzumab | sacituzumab | sacituzumab; number: 27 | 6.6 | 185 | 19 -> 32 | 5.8 | 2 | 140,0.808,1.0,3,"Reordered Or Partial Template candidate; masked=0.821, original=0.785, ngram=0.588, weighted_sections=0.819, median_cluster_similarity=0.808, edge_density=1.000.",,Paired-biopsy analysis of PSMA expression before and after androgen-receptor pathway inhibition in metastatic prostate cancer.,Journal of Clinical Oncology,2026,Genitourinary Cancer—Prostate
TPL-0005,4,synT017,synT017.xml,synT018 | synT019 | synT020,0.942,candidate,"mixed-effects models evaluated change over time, and multivariable regression assessed baseline clinical and patient-reported predictors.",journal=Journal of Clinical Oncology; type=Breast Cancer; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.821,0.869,0.76,0.864,background=0.867; conclusions=0.716; methods=0.926; results=0.942,percent: 48% | 80% -> 42% | 80%; gene: none -> CIPN20; number: 2 | 3 | 214 | 51.2 -> 4 | 3 | 188 | 6.4,0.91,1.0,3,"Shared Section candidate; masked=0.869, original=0.821, ngram=0.760, weighted_sections=0.864, median_cluster_similarity=0.910, edge_density=1.000.",,Longitudinal patient-reported fatigue during adjuvant chemotherapy for early breast cancer.,Journal of Clinical Oncology,2026,Breast Cancer
TPL-0005,4,synT018,synT018.xml,synT017 | synT019 | synT020,0.942,candidate,"mixed-effects models evaluated change over time, and multivariable regression assessed baseline clinical and patient-reported predictors.",journal=Journal of Clinical Oncology; type=Gastrointestinal Cancer—Colorectal; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.821,0.869,0.76,0.864,background=0.867; conclusions=0.716; methods=0.926; results=0.942,percent: 42% | 80% -> 48% | 80%; gene: CIPN20 -> none; number: 4 | 3 | 188 | 6.4 -> 2 | 3 | 214 | 51.2,0.91,1.0,3,"Shared Section candidate; masked=0.869, original=0.821, ngram=0.760, weighted_sections=0.864, median_cluster_similarity=0.910, edge_density=1.000.",,Longitudinal patient-reported neuropathy during oxaliplatin-based therapy for colorectal cancer.,Journal of Clinical Oncology,2026,Gastrointestinal Cancer—Colorectal
TPL-0005,4,synT019,synT019.xml,synT017 | synT018 | synT020,0.933,candidate,"mixed-effects models evaluated change over time, and multivariable regression assessed baseline clinical and patient-reported predictors.",journal=Journal of Clinical Oncology; type=Genitourinary Cancer—Prostate; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.841,0.881,0.726,0.882,background=0.867; conclusions=0.795; methods=0.917; results=0.933,pvalue: p=0.002 -> none; percent: 39% | 80% -> 48% | 80%; number: 2 | 3 | 156 | 4.8 -> 2 | 3 | 214 | 51.2,0.91,1.0,3,"Shared Section candidate; masked=0.881, original=0.841, ngram=0.726, weighted_sections=0.882, median_cluster_similarity=0.910, edge_density=1.000.",,Longitudinal patient-reported pain during radioligand therapy for metastatic prostate cancer.,Journal of Clinical Oncology,2026,Genitourinary Cancer—Prostate
TPL-0005,4,synT020,synT020.xml,synT017 | synT018 | synT019,0.894,candidate,"mixed-effects models evaluated change over time, and multivariable regression assessed baseline clinical and patient-reported predictors.",journal=Journal of Clinical Oncology; type=Hematologic Malignancies—Lymphoma; year=2026; authors=3; affiliations=3; schema=article,shared_section,0.768,0.813,0.654,0.807,background=0.833; conclusions=0.659; methods=0.844; results=0.894,pvalue: p=0.004 -> none; percent: 35% | 80% -> 48% | 80%; gene: CD19- | CD19- -> none; number: 14 | 30 | 90 | 143 -> 2 | 3 | 214 | 51.2,0.91,1.0,3,"Shared Section candidate; masked=0.813, original=0.768, ngram=0.654, weighted_sections=0.807, median_cluster_similarity=0.910, edge_density=1.000.",,Longitudinal patient-reported sleep disturbance during cellular therapy for lymphoma.,Journal of Clinical Oncology,2026,Hematologic Malignancies—Lymphoma
