detector_type,rule_id,category,pattern,matched_phrase,expected_term,severity,confidence,retrieved_papers,source
tortured_phrase,TP-00061,tortured_phrase,"""energy effectiveness"" AND ""energy efficiency""",energy effectiveness,energy efficiency,medium,0.87,4381,🤷_tortured.csv
tortured_phrase,TP-00062,tortured_phrase,"""machine knowledge""",machine knowledge,machine learning (in this context),medium,0.87,4143,🤷_tortured.csv
tortured_phrase,TP-00063,tortured_phrase,"""supply chain control""",supply chain control,supply chain management (SCM),medium,0.87,4120,🤷_tortured.csv
tortured_phrase,TP-00064,tortured_phrase,"""recognizable proof""",recognizable proof,identification,medium,0.87,3968,🤷_tortured.csv
tortured_phrase,TP-00065,tortured_phrase,"""AI calculation""",AI calculation,machine learning algorithm,medium,0.87,3804,🤷_tortured.csv
tortured_phrase,TP-00066,tortured_phrase,"""heart ailments""",heart ailments,heart disease,medium,0.87,3781,🤷_tortured.csv
tortured_phrase,TP-00067,tortured_phrase,"""liver ailments""",liver ailments,liver disease,medium,0.87,3734,🤷_tortured.csv
tortured_phrase,TP-00068,tortured_phrase,"""test technique"" AND ""analysis method""",test technique,Analysis Method,medium,0.87,3612,🤷_tortured.csv
tortured_phrase,TP-00069,tortured_phrase,"""discourse highlights""",discourse highlights,acoustic features,medium,0.87,3609,🤷_tortured.csv
tortured_phrase,TP-00070,tortured_phrase,"""distinguishing proof""",distinguishing proof,identification,medium,0.87,3482,🤷_tortured.csv
tortured_phrase,TP-00071,tortured_phrase,"""limited motivation""",limited motivation,finite impulse response,medium,0.87,3470,🤷_tortured.csv
tortured_phrase,TP-00072,tortured_phrase,"""surface highlights"" NOT specular",surface highlights,surface features,medium,0.87,3445,🤷_tortured.csv
tortured_phrase,TP-00073,tortured_phrase,"""machine interpretation""",machine interpretation,machine translation,medium,0.87,3368,🤷_tortured.csv
tortured_phrase,TP-00074,tortured_phrase,"""google researcher""",google researcher,Google Scholar,medium,0.87,3335,🤷_tortured.csv
tortured_phrase,TP-00075,tortured_phrase,"""cyclic neural network""",cyclic neural network,recurrent neural network,medium,0.87,3285,🤷_tortured.csv
tortured_phrase,TP-00076,tortured_phrase,"""preparation set""",preparation set,training set,medium,0.87,3268,🤷_tortured.csv
tortured_phrase,TP-00077,tortured_phrase,"""programmed learning""",programmed learning,machine learning,medium,0.87,3177,🤷_tortured.csv
tortured_phrase,TP-00078,tortured_phrase,"""monetary development""",monetary development,economic development/profit growth,medium,0.87,3171,🤷_tortured.csv
tortured_phrase,TP-00079,tortured_phrase,"""exactness accuracy""~5",exactness accuracy,accuracy,medium,0.87,3143,🤷_tortured.csv
tortured_phrase,TP-00080,tortured_phrase,"""preparing information""",preparing information,training data,medium,0.87,3136,🤷_tortured.csv
tortured_phrase,TP-00081,tortured_phrase,"""DDoS assault""",DDoS assault,Distributed denial-of-service (DDoS) attack,medium,0.87,3129,🤷_tortured.csv
tortured_phrase,TP-00082,tortured_phrase,"""Fourier transmission infrared""",Fourier transmission infrared,Fourier transform infrared (FTIR),medium,0.87,3066,🤷_tortured.csv
tortured_phrase,TP-00083,tortured_phrase,"""heat move""",heat move,heat transfer,medium,0.87,3046,🤷_tortured.csv
tortured_phrase,TP-00084,tortured_phrase,"""concealed layer""",concealed layer,hidden layer,medium,0.87,3025,🤷_tortured.csv
tortured_phrase,TP-00085,tortured_phrase,"""crown epidemic""",crown epidemic,corona epidemic,medium,0.87,3014,🤷_tortured.csv
tortured_phrase,TP-00086,tortured_phrase,"""chief parts""",chief parts,principal components,medium,0.87,2971,🤷_tortured.csv
tortured_phrase,TP-00087,tortured_phrase,"""recurrence range""",recurrence range,frequency range,medium,0.87,2959,🤷_tortured.csv
tortured_phrase,TP-00088,tortured_phrase,"""consideration system""",consideration system,attention mechanism,medium,0.87,2940,🤷_tortured.csv
tortured_phrase,TP-00089,tortured_phrase,"""assignment rate""",assignment rate,class balance,medium,0.87,2910,🤷_tortured.csv
tortured_phrase,TP-00090,tortured_phrase,"""bunch size""",bunch size,batch size,medium,0.87,2817,🤷_tortured.csv
tortured_phrase,TP-00091,tortured_phrase,"""genuine positive"" AND ""true positive""",genuine positive,true positive,medium,0.87,2790,🤷_tortured.csv
tortured_phrase,TP-00092,tortured_phrase,"""informational index""",informational index,dataset,medium,0.87,2786,🤷_tortured.csv
tortured_phrase,TP-00093,tortured_phrase,"""substantial metals""",substantial metals,heavy metals,medium,0.87,2698,🤷_tortured.csv
tortured_phrase,TP-00094,tortured_phrase,"""highlight extraction"" NOT specular",highlight extraction,feature extraction,medium,0.87,2695,🤷_tortured.csv
tortured_phrase,TP-00095,tortured_phrase,"""education data"" AND ""training data""",education data,training data,medium,0.87,2690,🤷_tortured.csv
tortured_phrase,TP-00096,tortured_phrase,"""areas and capacities""",areas and capacities,domains and functions,medium,0.87,2672,🤷_tortured.csv
tortured_phrase,TP-00097,tortured_phrase,"""protein work"" AND ""protein function""",protein work,protein function,medium,0.87,2606,🤷_tortured.csv
tortured_phrase,TP-00098,tortured_phrase,"""abnormality identification""",abnormality identification,anomaly detection,medium,0.87,2602,🤷_tortured.csv
tortured_phrase,TP-00099,tortured_phrase,"""info information""",info information,input data,medium,0.87,2599,🤷_tortured.csv
tortured_phrase,TP-00100,tortured_phrase,"""include descriptor""",include descriptor,feature descriptor,medium,0.87,2587,🤷_tortured.csv
tortured_phrase,TP-00101,tortured_phrase,"""auxiliary design""",auxiliary design,secondary structure,medium,0.87,2535,🤷_tortured.csv
tortured_phrase,TP-00102,tortured_phrase,"""heat movement""",heat movement,heat transfer,medium,0.87,2505,🤷_tortured.csv
tortured_phrase,TP-00103,tortured_phrase,"""actual properties"" AND ""physical properties""",actual properties,physical properties,medium,0.87,2493,🤷_tortured.csv
tortured_phrase,TP-00104,tortured_phrase,"""driving reason""",driving reason,leading cause,medium,0.87,2434,🤷_tortured.csv
tortured_phrase,TP-00105,tortured_phrase,"""informational collection""",informational collection,dataset,medium,0.87,2427,🤷_tortured.csv
tortured_phrase,TP-00106,tortured_phrase,"""cyber assault""",cyber assault,cyber attack,medium,0.87,2409,🤷_tortured.csv
tortured_phrase,TP-00107,tortured_phrase,"""speaker display""",speaker display,speaker model,medium,0.87,2377,🤷_tortured.csv
tortured_phrase,TP-00108,tortured_phrase,"""hazard ratio (RR)""",hazard ratio (RR),relative risk (please note that the HR does exist),medium,0.87,2349,🤷_tortured.csv
tortured_phrase,TP-00109,tortured_phrase,"""new crown"" AND coronavirus",new crown,new coronavirus,medium,0.87,2299,🤷_tortured.csv
tortured_phrase,TP-00110,tortured_phrase,"""PC vision""",PC vision,computer vision,medium,0.87,2279,🤷_tortured.csv
tortured_phrase,TP-00112,tortured_phrase,"""utility lattice""",utility lattice,utility grid,medium,0.87,2240,🤷_tortured.csv
tortured_phrase,TP-00113,tortured_phrase,"""electrical gadget""",electrical gadget,electronic device,medium,0.87,2234,🤷_tortured.csv
tortured_phrase,TP-00114,tortured_phrase,"""named information""",named information,labeled data,medium,0.87,2232,🤷_tortured.csv
tortured_phrase,TP-00115,tortured_phrase,"""activation work""",activation work,activation function,medium,0.87,2200,🤷_tortured.csv
tortured_phrase,TP-00116,tortured_phrase,"""as pursues""",as pursues,as follows,medium,0.87,2178,🤷_tortured.csv
tortured_phrase,TP-00117,tortured_phrase,"""reactive blend""",reactive blend,reaction mixture,medium,0.87,2176,🤷_tortured.csv
tortured_phrase,TP-00118,tortured_phrase,"""traffic design"" AND ""network""",traffic design,traffic pattern,medium,0.87,2168,🤷_tortured.csv
tortured_phrase,TP-00119,tortured_phrase,"""delicate information""",delicate information,sensitive information,medium,0.87,2146,🤷_tortured.csv
tortured_phrase,TP-00120,tortured_phrase,"""crude information""",crude information,raw data,medium,0.87,2136,🤷_tortured.csv
tortured_phrase,TP-00121,tortured_phrase,"""project memory""",project memory,system memory,medium,0.87,2125,🤷_tortured.csv
tortured_phrase,TP-00122,tortured_phrase,"""data and innovation""",data and innovation,"\""information technology (IT)\""",medium,0.87,2113,🤷_tortured.csv
tortured_phrase,TP-00123,tortured_phrase,"""DoS assault""",DoS assault,denial-of-service (DoS) attack,medium,0.87,2086,🤷_tortured.csv
tortured_phrase,TP-00124,tortured_phrase,"""choice tree""",choice tree,decision tree,medium,0.87,2025,🤷_tortured.csv
tortured_phrase,TP-00125,tortured_phrase,"""network safety"" AND ""network security""",network safety,network security,medium,0.87,2004,🤷_tortured.csv
tortured_phrase,TP-00126,tortured_phrase,"""neural associations""",neural associations,neural networks,medium,0.87,1995,🤷_tortured.csv
tortured_phrase,TP-00127,tortured_phrase,"""creepy crawlies""",creepy crawlies,insect,medium,0.87,1992,🤷_tortured.csv
tortured_phrase,TP-00128,tortured_phrase,"""vital predictor""",vital predictor,significant predictor,medium,0.87,1980,🤷_tortured.csv
tortured_phrase,TP-00129,tortured_phrase,"""disappearing gradient problem""~5",disappearing gradient problem,vanishing gradient problem,medium,0.87,1974,🤷_tortured.csv
tortured_phrase,TP-00130,tortured_phrase,"""concealed state""",concealed state,hidden state (in HMM),medium,0.87,1951,🤷_tortured.csv
tortured_phrase,TP-00131,tortured_phrase,"""neuron yield""",neuron yield,neuron output,medium,0.87,1945,🤷_tortured.csv
tortured_phrase,TP-00132,tortured_phrase,"""kidney ailments""",kidney ailments,kidney disease,medium,0.87,1939,🤷_tortured.csv
tortured_phrase,TP-00133,tortured_phrase,"""covered layer""",covered layer,hidden layer,medium,0.87,1936,🤷_tortured.csv
tortured_phrase,TP-00134,tortured_phrase,"""preparation dataset""",preparation dataset,training dataset,medium,0.87,1930,🤷_tortured.csv
tortured_phrase,TP-00135,tortured_phrase,"""kinematic consistency""",kinematic consistency,kinematic constant,medium,0.87,1908,🤷_tortured.csv
tortured_phrase,TP-00136,tortured_phrase,"""pre-handling""",pre-handling,preprocessing,medium,0.87,1881,🤷_tortured.csv
tortured_phrase,TP-00137,tortured_phrase,"""wavelet change""",wavelet change,wavelet transform,medium,0.87,1872,🤷_tortured.csv
tortured_phrase,TP-00138,tortured_phrase,"""face acknowledgment""",face acknowledgment,face recognition,medium,0.87,1857,🤷_tortured.csv
tortured_phrase,TP-00139,tortured_phrase,"""directed learning"" AND ""supervised learning""",directed learning,supervised (machine) learning,medium,0.87,1796,🤷_tortured.csv
tortured_phrase,TP-00140,tortured_phrase,"""eye ailments""",eye ailments,eye disease,medium,0.87,1760,🤷_tortured.csv
tortured_phrase,TP-00141,tortured_phrase,"""net of things""",net of things,internet of things (IoT),medium,0.87,1753,🤷_tortured.csv
tortured_phrase,TP-00142,tortured_phrase,"""recommender framework""",recommender framework,recommender system,medium,0.87,1745,🤷_tortured.csv
tortured_phrase,TP-00143,tortured_phrase,"""air fine""",air fine,air quality,medium,0.87,1742,🤷_tortured.csv
tortured_phrase,TP-00144,tortured_phrase,"""rigid portions""",rigid portions,crosslinking reagent (?),medium,0.87,1729,🤷_tortured.csv
tortured_phrase,TP-00145,tortured_phrase,"""dimensionality decrease""",dimensionality decrease,dimensionality reduction,medium,0.87,1719,🤷_tortured.csv
tortured_phrase,TP-00146,tortured_phrase,"""Navier-Stocks""",Navier-Stocks,Navier-Stokes,medium,0.87,1711,🤷_tortured.csv
tortured_phrase,TP-00147,tortured_phrase,"""continuous neural network""",continuous neural network,recurrent neural network,medium,0.87,1710,🤷_tortured.csv
tortured_phrase,TP-00148,tortured_phrase,"""binary grouping""",binary grouping,binary classification,medium,0.87,1693,🤷_tortured.csv
tortured_phrase,TP-00149,tortured_phrase,"""actually occur"" AND ""true positive""",actually occur,true positive,medium,0.87,1671,🤷_tortured.csv
tortured_phrase,TP-00150,tortured_phrase,"""oblivious blind""~20",oblivious blind,blind (visually impaired),medium,0.87,1669,🤷_tortured.csv
tortured_phrase,TP-00151,tortured_phrase,"""image determination""",image determination,image resolution,medium,0.87,1636,🤷_tortured.csv
tortured_phrase,TP-00152,tortured_phrase,"""informative indexes""",informative indexes,datasets,medium,0.87,1631,🤷_tortured.csv
tortured_phrase,TP-00153,tortured_phrase,"""confrontation network""",confrontation network,adversarial network,medium,0.87,1611,🤷_tortured.csv
tortured_phrase,TP-00154,tortured_phrase,"""regulated learning"" AND ""supervised learning""",regulated learning,supervised learning,medium,0.87,1604,🤷_tortured.csv
tortured_phrase,TP-00155,tortured_phrase,"""data technology (IT)""",data technology (IT),information technology,medium,0.87,1578,🤷_tortured.csv
tortured_phrase,TP-00156,tortured_phrase,"""oral tract""",oral tract,vocal tract,medium,0.87,1566,🤷_tortured.csv
tortured_phrase,TP-00157,tortured_phrase,"""administered ML""",administered ML,supervised machine learning,medium,0.87,1543,🤷_tortured.csv
tortured_phrase,TP-00158,tortured_phrase,"""discourse samples""",discourse samples,speech samples,medium,0.87,1536,🤷_tortured.csv
tortured_phrase,TP-00159,tortured_phrase,"""video acknowledgment""",video acknowledgment,video recognition,medium,0.87,1498,🤷_tortured.csv
tortured_phrase,TP-00160,tortured_phrase,"""education information"" AND ""training data""",education information,training data,medium,0.87,1496,🤷_tortured.csv
tortured_phrase,TP-00161,tortured_phrase,"""pollution heaven""",pollution heaven,pollution haven,medium,0.87,1489,🤷_tortured.csv
tortured_phrase,TP-00162,tortured_phrase,"""graphical portrayal""",graphical portrayal,graphical representation,medium,0.87,1486,🤷_tortured.csv
tortured_phrase,TP-00163,tortured_phrase,"""acquired qualities""",acquired qualities,obtained values,medium,0.87,1485,🤷_tortured.csv
tortured_phrase,TP-00164,tortured_phrase,"""information estimating""",information estimating,data monitoring,medium,0.87,1483,🤷_tortured.csv
tortured_phrase,TP-00165,tortured_phrase,"""preparation stage"" AND ""training stage""",preparation stage,training stage,medium,0.87,1468,🤷_tortured.csv
tortured_phrase,TP-00166,tortured_phrase,"""vitality utilization""",vitality utilization,energy use,medium,0.87,1458,🤷_tortured.csv
tortured_phrase,TP-00167,tortured_phrase,"""observational examination""",observational examination,observational study,medium,0.87,1421,🤷_tortured.csv
tortured_phrase,TP-00168,tortured_phrase,"""graphical investigation""",graphical investigation,graphical analysis,medium,0.87,1421,🤷_tortured.csv
tortured_phrase,TP-00169,tortured_phrase,"""limit layer""",limit layer,boundary layer,medium,0.87,1410,🤷_tortured.csv
tortured_phrase,TP-00170,tortured_phrase,"""fake bad""",fake bad,false negative,medium,0.87,1406,🤷_tortured.csv
tortured_phrase,TP-00171,tortured_phrase,"""deep studying""",deep studying,deep learning (DL),medium,0.87,1403,🤷_tortured.csv
tortured_phrase,TP-00172,tortured_phrase,"""sound individuals""",sound individuals,healthy individuals,medium,0.87,1394,🤷_tortured.csv
tortured_phrase,TP-00173,tortured_phrase,"""Euclidean separation""",Euclidean separation,Euclidean distance,medium,0.87,1393,🤷_tortured.csv
tortured_phrase,TP-00174,tortured_phrase,"""antagonistic discourse""",antagonistic discourse,hate speech,medium,0.87,1385,🤷_tortured.csv
tortured_phrase,TP-00175,tortured_phrase,"""protein spaces"" AND “protein domains""",protein spaces,entries describing protein domains,medium,0.87,1384,🤷_tortured.csv
tortured_phrase,TP-00176,tortured_phrase,"""point birth""",point birth,feature extraction,medium,0.87,1367,🤷_tortured.csv
tortured_phrase,TP-00177,tortured_phrase,"""rigid approaches""",rigid approaches,fixed methods,medium,0.87,1365,🤷_tortured.csv
tortured_phrase,TP-00178,tortured_phrase,"""high-exactness""",high-exactness,high-resolution,medium,0.87,1359,🤷_tortured.csv
tortured_phrase,TP-00179,tortured_phrase,"""function extraction"" AND ""feature extraction""",function extraction,feature extraction,medium,0.87,1357,🤷_tortured.csv
tortured_phrase,TP-00180,tortured_phrase,"""positive societies""",positive societies,positive cultures,medium,0.87,1345,🤷_tortured.csv
tortured_phrase,TP-00181,tortured_phrase,"""quintile regression""",quintile regression,quantile regression,medium,0.87,1343,🤷_tortured.csv
tortured_phrase,TP-00182,tortured_phrase,"""as takes after""",as takes after,as follows,medium,0.87,1331,🤷_tortured.csv
tortured_phrase,TP-00183,tortured_phrase,"""picture order""",picture order,image classification,medium,0.87,1331,🤷_tortured.csv
tortured_phrase,TP-00184,tortured_phrase,"""universal exchange""",universal exchange,global trade,medium,0.87,1327,🤷_tortured.csv
tortured_phrase,TP-00185,tortured_phrase,"""independent learning"" AND ""unsupervised learning""",independent learning,unsupervised learning,medium,0.87,1303,🤷_tortured.csv
tortured_phrase,TP-00186,tortured_phrase,"""neural community"" AND ""neural network""",neural community,neural network,medium,0.87,1302,🤷_tortured.csv
tortured_phrase,TP-00187,tortured_phrase,"""fitness statistics""",fitness statistics,health data,medium,0.87,1291,🤷_tortured.csv
tortured_phrase,TP-00188,tortured_phrase,"""coronary illness""",coronary illness,coronary artery disease,medium,0.87,1284,🤷_tortured.csv
tortured_phrase,TP-00189,tortured_phrase,"""picture division""",picture division,image segmentation,medium,0.87,1266,🤷_tortured.csv
tortured_phrase,TP-00190,tortured_phrase,"""transformer version"" AND ""model""",transformer version,transformer model,medium,0.87,1264,🤷_tortured.csv
tortured_phrase,TP-00191,tortured_phrase,"""device studying""",device studying,machine learning (ML),medium,0.87,1263,🤷_tortured.csv
tortured_phrase,TP-00192,tortured_phrase,"""nature of administration""",nature of administration,quality of service (QoS),medium,0.87,1255,🤷_tortured.csv
tortured_phrase,TP-00193,tortured_phrase,"""shared data"" AND ""mutual information""",shared data,Mutual Information (MI),medium,0.87,1247,🤷_tortured.csv
tortured_phrase,TP-00194,tortured_phrase,"""pre-preparing""",pre-preparing,preprocessing,medium,0.87,1238,🤷_tortured.csv
tortured_phrase,TP-00195,tortured_phrase,"""abnormality recognition""",abnormality recognition,anomaly detection,medium,0.87,1219,🤷_tortured.csv
tortured_phrase,TP-00196,tortured_phrase,"""example arrangement""",example arrangement,pattern recognition,medium,0.87,1208,🤷_tortured.csv
tortured_phrase,TP-00197,tortured_phrase,"""noteworthy connection""",noteworthy connection,significant relationship,medium,0.87,1208,🤷_tortured.csv
tortured_phrase,TP-00198,tortured_phrase,"""simulated intelligence""",simulated intelligence,artificial intelligence,medium,0.87,1206,🤷_tortured.csv
tortured_phrase,TP-00199,tortured_phrase,"""man in the center""",man in the center,man-in-the middle (attack),medium,0.87,1206,🤷_tortured.csv
