csv_line,record_id,title,filter_rule,abstract_text
129,35051.0,Effects of exogenous IL-37 on the biological characteristics of human lung adenocarcinoma A549 cells and the chemotaxis of regulatory T cells,article_retracted,"This article has been retracted, and the online PDF replaced with this retraction notice."
159,32802.0,Immature Colon Carcinoma Transcript 1 Is Essential for Prostate Cancer Cell Viability and Proliferation,publisher_formal_retraction_notice,"Cancer Biotherapy and Radiopharmaceuticals officially retracts the article entitled, “Immature Colon Carcinoma Transcript 1 Is Essential for Prostate Cancer Cell Viability and Proliferation,” by Zhijun Wang, Danfeng Xu, Yi Gao, Yushan Liu, Jizhong Ren, Yacheng Yao, Lei Yin, Jie Chen, Sishun Gan, and Xingang Cui, (Cancer Biother Radiopharm 2015;30(7):278–284; doi: 10.1089/cbr.2014.1728) due to incorrectly attributed or identified sequences. Several figures and text within the methods section are strikingly similar to those in other publications 1–3 and suggests that same party prepared these papers for entirely different author sets. The Editor and Publisher of Cancer Biotherapy and Radiopharmaceuticals are committed to preserving the scientific literature and the community it serves. References 1. Zhang C, Zhang T, Song E, et al. Ribosomal protein S15A augments human osteosarcoma xell proliferation in vitro. Cancer Biother Radiopharm 2018;29(10):451–456; doi: 10.1089/cbr.2014.1698. 2. Wang H, Wang B, Zhu W. et al. Lentivirus-mediated knockdown of myosin VI inhibits cell proliferation of breast cancer cell. Cancer Biother Radiopharm 2015;30(8):330–335; doi: 10.1089/cbr.2014.1759. 3. Zhao S, Chen X, Wan M, et al. Tectonic 1 is a key regulator of cell proliferation in pancreatic cancer. Cancer Biother Radiopharm 2016;31(1):7–13; doi: 10.1089/cbr.2014.1778."
161,32798.0,Lentivirus-Mediated Knockdown of Myosin VI Inhibits Cell Proliferation of Breast Cancer Cell,publisher_formal_retraction_notice,"Cancer Biotherapy and Radiopharmaceuticals officially retracts the article entitled, “Lentivirus-Mediated Knockdown of Myosin VI Inhibits Cell Proliferation of Breast Cancer Cell,” by Hong Wang, Biyun Wang, Wei Zhu, and Ziang Yang, (Cancer Biother Radiopharm 2015;30(8):330–335; doi: 10.1089/cbr.2014.1759) due to incorrectly attributed or identified sequences. Several figures and text within the methods section are strikingly similar to those in other publications 1–3 and suggests that same party prepared these papers for entirely different author sets. The Editor and Publisher of Cancer Biotherapy and Radiopharmaceuticals are committed to preserving the scientific literature and the community it serves. References 1. Wang Z, Xu D, Gao Y, et al. Immature colon carcinoma transcript 1 is essential for prostate cancer cell viability and proliferation. Cancer Biother Radiopharm 2015;30(7):278–284; doi: 10.1089/cbr.2014.1728. 2. Zhang C, Zhang T, Song E, et al. Ribosomal protein S15A augments human osteosarcoma xell proliferation in vitro. Cancer Biother Radiopharm 2018;29(10):451–456; doi: 10.1089/cbr.2014.1698. 3. Zhao S, Chen X, Wan M, et al. Tectonic 1 is a key regulator of cell proliferation in pancreatic cancer. Cancer Biother Radiopharm 2016;31(1):7–13; doi: 10.1089/cbr.2014.1778."
201,26872.0,Upregulation of MicroRNA-935 Promotes the Malignant Behaviors of Pancreatic Carcinoma PANC-1 Cells via Targeting Inositol Polyphosphate 4-Phosphatase Type I Gene (INPP4A),article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHER IN NOVEMBER 2020
202,26871.0,MicroRNA-223 Promotes Tumor Progression in Lung Cancer A549 Cells via Activation of the NF-κB Signaling Pathway,article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHER IN NOVEMBER 2020
203,26870.0,MicroRNA-16-1 Inhibits Tumor Cell Proliferation and Induces Apoptosis in A549 Non-Small Cell Lung Carcinoma Cells,article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHER IN NOVEMBER 2020
206,24700.0,Downregulation of SRC Kinase Signaling Inhibitor 1 (SRCIN1) Expression by MicroRNA-32 Promotes Proliferation and Epithelial‐Mesenchymal Transition in Human Liver Cancer Cells,article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHER IN NOVEMBER 2020
207,24699.0,Overexpression of MicroRNA-34a-5p Inhibits Proliferation and Promotes Apoptosis of Human Cervical Cancer Cells by Downregulation of Bcl-2,article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHERS IN OCTOBER 2020.
208,24698.0,Knockdown of Long Noncoding RNA LINC00152 Suppresses Cellular Proliferation and Invasion in Glioma Cells by Regulating miR-4775,article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHERS IN OCTOBER 2020.
209,24696.0,miR-630 Inhibits Epithelial-to-Mesenchymal Transition (EMT) by Regulating the Wnt/β-Catenin Pathway in Gastric Cancer Cells,article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHERS IN OCTOBER 2020.
210,24695.0,"Long Noncoding RNA TUNAR Represses Growth, Migration, and Invasion of Human Glioma Cells Through Regulating miR-200a and Rac1",article_withdrawn_by_publisher,THIS ARTICLE WAS WITHDRAWN BY THE PUBLISHERS IN OCTOBER 2020.
211,24065.0,MicroRNA-937 inhibits cell proliferation and metastasis in gastric cancer cells by downregulating FOXL2,article_retracted,"This article has been retracted, and the online PDF replaced with this retraction notice."
213,24026.0,The targeted regulation of Gli1 by miR-361 to inhibit epithelia-mesenchymal transition and invasion of esophageal carcinoma cells,article_retracted,"This article has been retracted, and the online PDF replaced with this retraction notice."
