"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""elderly folks""","older adults","950"
"""conditional design""","predicted structure","950"
"""kicked the bucket""","died","946"
"""convolutional neural system""","convolutional neural network (CNN)","945"
"""big information"" AND ""big data""","big data","943"
"""nanofluid stream""","nanofluid flow","942"
"""yield layer"" AND neural","output layer","938"
"""colossal data"" AND ""big data""","big data","937"
"""get right of entry to""","access","937"
"""inadequate change""","sparse transformation","934"
"""approval dataset""","validation dataset","932"
"""carbon dioxide discharge""","carbon dioxide emission","930"
"""protein crown""","protein corona","921"
"""NP-difficult""","NP-hard","918"
"""energy proficiency""","energy efficiency","913"
"""ecological alteration"" AND ""climate change""","climate change","910"
"""power-law change""","power-law transformation","909"
"""attractive separation""","Magnetic separation","905"
"""hereditary calculation""","genetic algorithm","897"
"""balance operator""","Stabilizing agent","896"
"""prescient model""","predictive model","895"
"""Denial of Service assault""","Denial of Service (DoS) attack","893"
"""emotion acknowledgment""","emotion recognition","892"
"""design acknowledgment"" AND ""pattern recognition""","pattern recognition","889"
"""reliant variable""","dependent variable","888"
"""rate focuses""","percentage points","885"
"""energy ingestion""","energy consumption","882"
"""patient gathering""","patient group","880"
"""windedness""","cough","873"
"""smart coordination""","intelligent logistics","871"
"""deep gaining knowledge""","deep learning","871"
"""fow cytometry""","Flow Cytometric Analysis","871"
"""imaginative and prescient""","vision","864"
"""digital danger""","cyber threat","861"
"""deep getting to know""","deep learning","859"
"""PC assisted""","Computer aided (e.g. CAD)","859"
"""thimbleful""","teaspoonful (sometimes in patient consent forms)","859"
"""help vectors"" AND ""support vectors""","support vectors (in SVM)","855"
"""cross-approval""","cross-validation","853"
"""choice boundary""","decision boundary","851"
"""discourse acknowledgement""","voice recognition","851"
"""brilliant"" AND ""keen"" AND ""savvy"" AND ""shrewd""","smart (devices)","851"
"""exact examination""","accurate analysis","848"
"""CO2 emanation""","CO2 emission","848"
"""bogus news"" AND ""fake news""","fake news","842"
"""genuine negative"" AND ""true negative""","true negative","841"
"""green item"" AND ""green product""","green product","825"
"""actuation capacities""","activation functions","821"
"""poisonous impacts""","toxic effects","821"
"""enhancement calculation"" AND optimiz*","optimization algorithm","818"
"""conveyance framework""","delivery strategy/system","816"
"""intrusive strategy""","invasive method","816"
"""counterfeit news""","fake news","808"
"""schooling information""","training data","808"
"""preparing design""","training sample","803"
"""lengthy-term"" AND ""long-term""","long-term","797"
"""misleading negative""","False Negative (FN)","796"
"""preparing dataset"" AND ""training dataset""","training dataset","793"
"""result layer"" AND ""output layer""","output layer (in a neural network)","790"
"""working framework"" AND ""operating system""","operating system","789"
"""help vector machine""","support vector machine (SVM)","789"
"""slope drop"" AND ""gradient""","gradient descent","781"
"""issue acknowledgment"" AND ""fault""","fault analysis/diagnosis","780"
"""selection tree"" AND ""decision tree""","decision tree","774"
"""bunching clustering""~20","clustering","774"
"""Alzheimer's illness""","Alzheimer's disease","774"
"""customary strategies""","conventional methods","768"
"""design anticipated""","predicted structure","767"
"""the taking after""","the following","764"
"""fundamental metals""","essential metals","761"
"""convolutionary neural networks""","convolutional neural networks","760"
"""troublesome procedure""","difficult/laborious procedure","759"
"""plant ailments""","plant disease","758"
"""thick woods"" AND ""learning""","dense forest","756"
"""factual examination""","statistical analysis","755"
"""boosting converter""","voltage buck-boost converter","754"
"""market effectiveness"" AND ""market efficiency""","market efficiency","745"
"""mind waves""","brain waves","739"
"""preparing set""","training set","738"
"""optimistic impact""","positive effect","738"
"""machine gaining""","machine learning","734"
"""completely associated layer""","fully connected layer (neural network)","733"
"""china national knowledge internet (CNKI)""","china national knowledge infrastructure","732"
"""arrangement calculation""","classification algorithm (?)","730"
"""initiation work""","activation function","728"
"""profound education""","deep learning","727"
"""coronary course""","coronary artery","723"
"""radio wire"" AND ""antenna""","antenna","723"
"""profound model""","deep model","722"
"""gadget learning""","machine learning","721"
"""middle filter""","median filter","715"
"""stop-customers""","end-users","713"
"""image fragmentation""","image segmentation","707"
"""transformative climate adaptation""","???","706"
"""Web of Things (IoT)""","Internet of Things (IoT)","697"
"""device mastering""","machine learning","693"
"""actuation work""","activation function","690"
"""super vector machine""","support vector machine (SVM)","685"
"""Parkinson's illness""","Parkinson's disease","685"
"""acknowledgment rate""","detection rate (DR)","680"
"""man-made intelligence""","artificial intelligence","680"
"""precious stones crystals""~10","crystals","676"
"""disposition issues""","mood disorders","674"
"""man-made brainpower""","artificial intelligence","674"
"""smart agreement""","smart contract","672"
"""force lattice""","power grid","669"
"""digital assault""","cyber attack","667"
"""getting to know algorithm""","learning algorithm","665"
"""man-made consciousness""","artificial intelligence","665"
"""warm properties""","thermal properties","665"
"""machine insight""","Machine Learning (ML)","664"
"""steering convention""","routing protocol","658"
"""machine literacy"" AND ""machine learning""","machine learning","657"
"""cooling framework""","cooling system","655"
"""vitality source""","energy source","655"
"""ReLU perform""","ReLU function","654"
"""administered learning""","supervised learning","653"
"""versatile hub""","mobile node","652"
"""measurable learning"" AND ""deep learning""","deep learning","650"
"""directing convention""","routing protocol","649"
"""repetitive layers""","recurrent layers","648"
"""calculated relapse""","logistic regression","648"
"""adeptly employed""","successfully employed","647"
"""malware assault""","malware attack","644"
"""cloud worker""","cloud server","644"
"""man-made reasoning""","artificial intelligence","642"
"""economical nature"" AND ""low cost""","low cost","640"
"""social detachment"" AND COVID","social distancing","640"
"""voice acknowledgment""","voice recognition","638"
"""hyperspectral picture""","hyperspectral image (HSI)","632"
"""machine studying"" AND ""machine learning""","machine learning","632"
"""lipid-based transporters""","lipid-based carriers","631"
"""time rot""","time decay","631"
"""gathering of patients""","patient group","622"
"""system mastering"" AND ""machine learning""","machine learning","621"
"""subtle element"" AND ""trace""","trace element","616"
"""feeling identification""","emotion identification","615"
"""info picture""","input image","610"
"""Kalman channel""","Kalman filter","610"
"""unique mark"" AND ""fingerprint""","fingerprint","602"
"""DNA harm""","DNA damage","601"
"""direct relapse""","linear regression","600"
"""discourse signs""","speech signal","599"
"""board information"" AND ""panel data""","panel data","598"
"""short blast""","explosion","592"
"""radio recurrence""","radio frequency","592"
"""exploratory outcomes"" AND ""experimental results""","experimental results","590"
"""machine getting to know""","machine learning","584"
"""solo learning""","unsupervised (machine) learning","580"
"""system getting to know""","machine learning","578"
"""credibility hypothesis""","probability theory","577"
"""Gabor channel""","Gabor filter","576"
"""cutting edge sequencing""","NGS (Next-Generation Sequencing)","574"
"""minute pictures""","microscopic images","572"
"""device getting to know""","machine learning","568"
"""blood clusters""","blood clots","568"
"""gadget studying""","machine learning","564"
"""brilliant detecting""","smart sensing","564"
"""gigantic data"" AND ""big data""","big data","563"
"""machine gaining knowledge""","machine learning","563"
"""information the executive""","information management","563"
"""medication conveyance""","drug delivery","562"
"""gadget mastering""","machine learning","561"
"""anticipated construction""","predicted structure","561"
"""Undefined material""","amorphous material","559"
"""issue acknowledgement"" AND ""fault""","fault analysis/diagnosis","557"
"""absolutely linked""","fully connected (FC)","554"
"""Herbal Language""","Natural Language","553"
"""stage pay""","phase compensation","552"
"""factual qualities""","statistical values","550"
"""fake neural""","artificial neural (network)","549"
"""breeze energy""","wind energy","548"
"""person delight""","user satisfaction","543"
"""blunder rate""","error rate","543"
"""highlight vector""","feature vector","543"
"""greenhouse gas discharges""","greenhouse gas emissions","541"
"""pixel esteems""","pixel values","540"
"""mystery key"" AND ""encryption""","secret key (cryptography)","539"
"""Associate in Nursing"" AND ""area unit""","paraphrased versions of the words ‘an’ and ‘are’ (see https://pubpeer.com/publications/38119B560544003CFD49520629BEEC)","536"
"""recurrence area"" AND ""signal""","frequency domain","535"
"""cancer grouping""","cancer classification","534"
"""programming dialect""","programming language","534"
"""straight relapse""","linear regression","529"
"""environmental dilapidation""","environmental degradation","526"
"""counterfeit neural""","artificial neural (network)","526"
"""system gaining knowledge of""","machine learning","525"
"""feeling recognition""","emotion recognition","521"
"""reusable energy"" AND ""renewable energy""","renewable energy","521"
"""synthetic intelligence (AI)""","artificial intelligence (AI)","519"
"""Fourier transfer infrared (FT-IR)""","Fourier transform infrared (FT-IR)","516"
"""nitrogen climate""","nitrogen atmosphere","515"
"""PV board""","PV panel","514"
"""assault model""","attack model","513"
"""hyperspectral snapshots""","hyperspectral images","512"
"""characteristic channel"" AND ""feature channel""","feature channel","509"
"""heart sickness""","heart disease","508"
"""increased commerce"" AND ""trade""","increased trade","507"
"""machine-gaining knowledge of""","machine learning","507"
"""limit esteem""","threshold value","506"
"""design acknowledgement"" AND ""pattern recognition""","pattern recognition","506"
"""excretion of CO2""","emission of CO2","504"
"""direct blend""","linear combination","503"
"""squares blockchain""~5","blocks","499"
"""multi way model""","multi-path model","497"
"""steering table"" AND network","routing table","496"
"""shading space""","color space","495"
"""aspect computing""","edge computing","493"
"""gadget gaining knowledge""","Machine Learning (ML)","489"
"""grouping relapse""~5","classification and regression","486"
"""photo segmentation""","image segmentation","486"
"""gadget getting to know""","machine learning","485"
"""strategic relapse""","logistic regression","484"
"""false error rate""","error rate","484"
"""repetitive neural network""","recurrent neural networks (RNN)","484"
"""accuracy and review""","precision and recall","484"
"""motivation reaction""","impulse response","482"
"""vitality productivity""","energy efficiency","481"
"""computer-generated reality""","virtual reality (VR)","480"
"""digital forms of money""","cryptocurrencies","480"
"""replay assault""","replay attack","479"
"""indispensable organs""","vital organs","479"
"""internet learning"" AND ""Machine learning""","Machine learning","475"
"""touchy information""","sensitive data","473"
"""human blunder""","human error","473"
"""deep literacy"" AND ""deep learning""","deep learning","473"
"""records mining"" AND ""data mining""","data mining","472"
"""genome altering""","genome editing","472"
"""dispersed age""","distributed generation","471"
"""expanded rate""","increased rate","470"
"""herbal language processing""","natural language processing (NLP)","469"
"""bouncy force""","buoyancy force","466"
"""unseen layer""","hidden layer","462"
"""picture recovery""","image retrieval","461"
"""explainability assessment""","explanation computation?","460"
"""randomized controlled preliminary"" NOT ""randomized controlled preliminary trial""","Randomized control trial (RCT)","460"
"""progress metal""","transition metal","459"
"""warm conductivity""","heat conductivity","459"
"""convolutional neural organization""","convolutional neural network","457"
"""ozone harming substance""","ozone-depleting substance","457"
"""bolster vector""","support vector (in SVM)","456"
"""populace development""","population growth","455"
"""edge esteem""","threshold value","455"
"""constrained Boltzmann Machines""","restricted Boltzmann Machines (RBM)","454"
"""botnet assault""","botnet attack","453"
"""maximum variance cluster""","???","452"
"""128 pieces""","128 bits","452"
"""critical worth""","significance value","452"
"""assault information""","attack data","449"
"""sign to noise""","signal to noise","448"
"""profound convolutional""","deep convolutional (neural network)","447"
"""fluffy rationale""","fuzzy logic","443"
"""nuisance estimates""","nuisance parameters","441"
"""enactment work""","validation function","439"
"""discourse record""","speech transcription","435"
"""perception vector""","observation vector","435"
"""vaticination"" AND ""algorithm""","prediction","433"
"""exactness rate""","accuracy rate","433"
"""weight esteem""","weight value","432"
"""quality regulation"" AND ""gene regulation""","gene regulation","430"
"""recurrence space""","frequency domain","429"
"""community security"" AND ""network security""","network security","429"
"""net of factors""","Internet of Things (IoT)","428"
"""navies bayes""","Naïve Bayes","428"
"""measurable investigation""","Statistical analysis","428"
"""dialect model""","language model","426"
"""equal calculation""","parallel computing","426"
"""picture grouping""","image classification","425"
"""attractive reverberation""","magnetic resonance","425"
"""strategy recurrence""","logistic regression","425"
"""storage gadget""","Multi-Agent gadget","424"
"""limited Boltzmann machine""","Restricted Boltzmann Machine (RBM)","423"
"""info layer""","input layer","421"
"""information collection procedure""","data collection process","420"
"""molecule swarm""","particule swarm","420"
"""creature models""","animal models","420"
"""interruption discovery""","intrusion detection","419"
"""environmentally conscious method""","???","417"
"""end-to-stop""","end-to-end","417"
"""reset door""","reset gate (a part of GRU)","415"
"""transient"" AND ""enduring state""","steady state","414"
"""material predictor""","significant predictor","413"
"""shading pictures""","color images","413"
"""intensity and vulnerability""","strengths and weaknesses?","412"
"""consideration instrument""","attention mechanism","412"
"""carbon emanation""","carbon emission","410"
"""delicate data"" AND ""sensitive data""","sensitive data","408"
"""angle plunge""","gradient descent","408"
"""division perspectives""","segmentation views","408"
"""genuine positive rate""","true positive rate (TPR)","407"
"""fake knowledge""","artificial intelligence","407"
"""genetic calculation"" AND ""genetic algorithm""","genetic algorithm","407"
"""delicate information"" AND ""sensitive data""","sensitive data","407"
"""information digging""","data mining","405"
"""traffic designs"" AND ""traffic patterns""","[network] traffic patterns","404"
"""compound designing""","chemical engineering","404"
"""populace size""","population size","398"
"""reaction pace"" AND ""rate""","response rate","398"
"""reverberation frequency""","resonance frequency","397"
"""executive framework"" AND ""management system""","management system","396"
"""convolutional brain organization""","convolutional neural network (CNN)","395"
"""GHG discharge""","GHG emission","394"
"""transfer studying""","transfer learning","394"
"""factor inquiry""","factor analysis (FA)","393"
"""p esteem""","p value","392"
"""yield pictures""","output images","392"
"""remote detecting"" AND ""remote sensing""","remote sensing","391"
"""time collection analysis""","time series analysis","390"
"""speech intelligence""","speech intelligibility (?)","390"
"""discovery calculation""","detection algorithm","389"
"""voice acknowledgement""","voice recognition","386"
"""Transform woods""","random forest (RF)","385"
"""vital success factor""","critical success factor (CSF)","382"
"""thyroid lump""","thyroid gland","382"
"""ion-adsorbed rare earths""","ion-adsorption rare earths","380"
"""Walk 2020""","March 2020","379"
"""interruption recognition""","intrusion detection","379"
"""administrative successions""","regulatory sequences","378"
"""adjustment time"" AND ""setup time""","setup time","378"
"""identification and arrangement""","identification and classification","376"
"""coasting point""","Floating point","373"
"""thick scattering"" AND ""heat""","viscous dissipation","373"
"""green money"" AND ""green finance""","green finance","372"
"""unique finger impression""","fingerprint","371"
"""activation ability"" AND ""activation function""","activation function","371"
"""Sybil assault""","Sybil attack","371"
"""electrical vitality""","electrical energy","370"
"""scopes of distance""","???","368"
"""collection to collection""","Seq2Seq","368"
"""preparation arrangement""","training set","367"
"""incorporated circuits""","integrated circuits","367"
"""thermogravimetric examination""","thermogravimetric analysis (TGA)","367"
"""concealed node""","hidden node","367"
"""real positive rate""","true positive rate","366"
"""shrouded layer""","hidden layer","365"
"""bolster vector machine""","support vector machine (SVM)","364"
"""picture dealing with""","image processing (?)","363"
"""back spread"" AND neural","back propagation","362"
"""eliminates adversarial perturbation""","???","361"
"""reliant factors""","dependent variables","360"
"""cost operative"" AND ""cost effective""","cost effective","359"
"""result door""","output gate (a part of LSTM)","358"
"""regenerative system"" AND ""reproductive""","reproductive system","357"
"""cross sectional reliance""","Cross-sectional dependence","356"
"""federated-convolutional-neural-network""","Distributed Convolutional Neural Network","355"
"""dispersion lattice""","confusion matrix","354"
"""measurable technique""","statistical method","354"
"""message grouping""","text classification","353"
"""ROC bend""","ROC curve","349"
"""facial acknowledgment""","face recognition","349"
"""total national production"" AND ""GDP""","gross domestic product","347"
"""feeling acknowledgment""","emotion recognition","346"
"""laptop vision""","computer vision","345"
"""back proliferation""","back-propagation","344"
"""ethnic gatherings""","ethnic groups","343"
"""mind tumor""","brain tumor","342"
"""misfortune work""","loss function","341"
"""discourse recognition""","speech recognition","340"
"""backing vector""","support vector (in SVM)","340"
"""vanishing slope gradient""~10","vanishing gradient","340"
"""gesture acknowledgment""","gesture recognition","338"
"""meta examination""","meta analysis","338"
"""indagation""","investigation","337"
"""framework breakdown""","Framework Collapse","336"
"""man-in-the-middle assault""","man-in-the-middle attack (MITM)","336"
"""CNN engineering""","CNN architecture","336"
"""naive bias"" AND ""naïve Bayes""","naïve Bayes","334"
"""social impact UTAUT""~10","social influence, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology","333"
"""element determination"" AND ""feature selection""","feature selection","332"
"""exchange learning"" AND ""transfer learning""","transfer learning","332"
"""wi fi sensor network""","wireless sensor network (WSN)","331"
"""repetitive organization""","recurrent network","330"
"""sound highlight""","sound feature","330"
"""facial highlights""","facial features","329"
"""energy ingesting""","energy consumption","326"
"""element space"" AND ""feature space""","feature space","325"
"""district of the body""","part of the body","325"
"""installed framework""","embedded system","325"
"""specially appointed system""","ad hoc network","325"
"""enthusiastic state""","emotional state","324"
"""extricating highlights""~20 NOT specular","extracting [...] features","323"
"""central composite rotary design""","central composite rotatable design (CCRD)","323"
"""overwhelming metals""","heavy metals","323"
"""surface harshness""","surface roughness","322"
"""infections forecast""","disease prediction","322"
"""recurrence band""","frequency band","321"
"""savvy city""","smart city","319"
"""bosom disease""","breast cancer","317"
"""school education data""","training data","316"
"""way reliance""","path dependence","316"
"""highlight map"" AND ""CNN""","feature map","316"
"""automatic number plate detection""","Automatic Number Plate Recognition (ANPR)","314"
"""bracket techniques""","classification methods","314"
"""cloud registering""","cloud computing","314"
"""bosom malignant""","breast cancer","313"
"""Fluka Kamica""","Fluka Chemica","313"
"""fuzzy rationale""","fuzzy logic","312"
"""most crowded"" AND ""most populated""","most populated","312"
"""savvy home""","smart home","312"
"""injection assault""","injection attack","311"
"""pre-prepared model""","pre-trained model","311"
"""getting to know model""","learning model","311"
"""particle trade""","ion exchange","310"
"""info and yield""","input and output","309"
"""statistics retrieval""","information retrieval","309"
