pair_id,abstract_id_a,abstract_id_b,pair_class,reviewed_verdict,review_confidence,recommended_pair_class,review_group,review_basis,review_rationale,primary_evidence,legitimate_study_context,suspicious_family,reviewer_notes,source_a,source_b
G011,33483,32888,Possible template reuse,Probable template reuse,Medium,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"The same masked study narrative and endpoint order recur across unrelated cancers, but the evidence presented is mainly structural rather than exact sentence reuse.","Repeated title formula with supporting body evidence: parallel unclear-role introduction, RT-qPCR measurement, clinicopathologic correlation, tumor-suppressive Results, direct target, PI3K/Akt deactivation, and therapeutic-axis conclusion.","None: different authors, affiliations, cancers, miRNAs, and targets; no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] miR-936/FGF2/EOC and miR-761/FGFR1/osteosarcoma use the same masked study narrative and endpoint sequence. Body support makes this stronger than a title-only match. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S213231,10.2147/OTT.S208263
G012,46812,33488,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Sentence-level parallels cover Methods, depletion phenotype, ceRNA target, rescue, and pathway conclusion with entities swapped.","Highly similar masked body structure with shared qRT-PCR, CCK-8/flow/Transwell/xenograft Methods and parallel depletion, ceRNA, target, rescue, and pathway-conclusion Results.","None: different authors, affiliations, cancers, and molecular axes; no shared study identifier or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] LINC00885/miR-432-5p/MACC1 in cervical cancer is substituted for LINC00922/miR-424-5p/BDNF in breast cancer. Sentence-level parallels occur across Methods, Results, mechanism, and conclusion. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S291778,10.2147/CMAR.S267665
G013,33475,32985,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Closely matched full-body sequence from expression/prognosis through knockdown, xenograft, ceRNA targeting, rescue, and therapeutic conclusion.","Entity-swapped template: closely matched full-body sequence covering expression/prognosis, knockdown assays, xenograft growth, ceRNA sponging, direct target, rescue, and therapeutic conclusion.","None: different authors, affiliations, diseases, lncRNAs, miRNAs, and target genes; no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] LINC00839/miR-454-3p/c-Met/osteosarcoma is substituted for LINC00491/miR-324-5p/SP1/NSCLC. Methods and mechanistic Results use strongly parallel wording and ordering. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S269774,10.2147/CMAR.S264681
G014,40366,37827,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"The unusual combination and ordering of EdU/Transwell, subcutaneous and lung-metastasis models, EMT results, and miRNA-sponging mechanism is reused with substituted entities.","Shared distinctive Methods and Results wording: EdU/Transwell assays, subcutaneous and lung-metastasis models, upregulation in tissues/cell lines, in-vitro/in-vivo proliferation-migration-invasion-EMT, and miRNA-sponging mechanism.","None: different authors, affiliations, cancers, lncRNAs, miRNAs, and targets; no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] AGAP2-AS1/miR-16-5p/ANXA11 in HCC is substituted for TPT1-AS1/miR-324-5p/SP1 in cervical cancer. The subcutaneous/lung-metastasis model wording and Results sequence are unusually close. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1186/s13046-019-1188-x,10.1186/s13046-018-0846-8
G015,46092,32583,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Broad sentence-level alignment across Methods, clinical association, knockdown phenotype, ceRNA axis, rescue, and xenograft results. Shared authorship may explain reuse but the content is still templated.","Highly similar masked Methods/Results structure: qRT-PCR, CCK-8, flow cytometry, Transwell, xenograft, overexpression with adverse stage/survival, knockdown phenotype, ceRNA axis, and rescue.","Shared author Lianwei Lu; different cancers, affiliations, lncRNAs, miRNAs, and targets. No shared cohort or protocol is stated.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] ST7-AS1/miR-543/TRPM7 in cervical cancer is substituted for DLGAP1-AS1/miR-628-5p/AEG-1 in gastric cancer. The shared author and broad sentence-level alignment support a suspicious template family. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S253868,10.2147/CMAR.S246166
G016,34106,32583,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,Repeated Methods/Results wording and numerous exact short sequences form the same abstract scaffold across different cancers and molecular axes.,"Repeated Methods and Results wording: reverse-transcription qPCR, CCK-8/flow/Transwell/xenograft, high expression with adverse stage/survival, knockdown reducing proliferation/migration/invasion and hindering tumor growth.","Shared author Lianwei Lu; different cancers, institutions, and molecular axes. No shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] SNHG8/miR-411/KPNA2 in ESCC is substituted for DLGAP1-AS1/miR-628-5p/AEG-1 in gastric cancer. Ten exact five-word sequences and several close sentences support reuse. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S214881,10.2147/CMAR.S246166
G017,46092,34106,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,The experimental and reporting scaffold is entity-swapped across unrelated cancers. Shared author/geographic context does not make it a companion analysis.,"Highly similar masked body structure with parallel qRT-PCR, CCK-8/flow/Transwell/xenograft Methods and adverse-clinical-feature, knockdown, sponge-axis, and therapeutic-target Results.","Shared author Lianwei Lu and overlapping Shandong/Weifang context; different cancers, lncRNAs, miRNAs, and targets. No shared cohort or protocol is stated.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] ST7-AS1/miR-543/TRPM7 and SNHG8/miR-411/KPNA2 use the same experimental and reporting scaffold. Shared authorship provides context but does not explain the entity-swapped body structure as a companion analysis. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S253868,10.2147/OTT.S214881
G018,40057,38995,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"A distinctive multi-group perturbation Methods sentence is reused with miRNA and target substitutions. This is direct protocol-text reuse, though shared authors may explain its origin.","Exact Methods formula with substitutions: cells assigned to blank/negative-control, miRNA mimics, miRNA inhibitors, si-target, and miRNA-inhibitor + si-target groups.","Shared authors Jun Lu and Yuan Lin Zheng and a Jiangsu Normal University affiliation; different cancer models, miRNAs, and targets. No shared protocol ID or dataset is stated.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The melanoma miR-708/BAMBI experiment and osteosarcoma miR-182/HOXA9 experiment reuse a distinctive treatment-group sentence and the same perturbation logic. This direct Methods match is stronger than generic pathway similarity. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1177/1533034618756784,10.18632/oncotarget.21167
G019,46431,33475,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"Multiple near-matched sentences span qRT-PCR, assay sequence, expression, knockdown, ceRNA mechanism, and conclusion with entities substituted.","Highly similar masked body structure: qRT-PCR expression, CCK-8/flow/Transwell/xenograft Methods, upregulation in tissues/cell lines, knockdown phenotype, ceRNA mechanism, and therapeutic-axis conclusion.","Exact author-name overlap for Yang Zhang, but different affiliations, diseases, and molecular axes; the common name is not sufficient to establish a shared study, cohort, or protocol.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] LINC00504/miR-876-3p/HMGB3 in breast cancer is substituted for LINC00839/miR-454-3p/c-Met in osteosarcoma. Multiple near-matched sentences plus shared authorship support inclusion in the suspicious family. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S276290,10.2147/CMAR.S269774
G020,32983,32219,Possible template reuse,Borderline / needs full-text review,Low,Needs manual review,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"The studies share miR-760 and a common ceRNA experimental design, but exact overlap is limited. Similarity could reflect convergence on the same mechanism rather than a shared writing template.","Low-overlap entity-swapped template: same miR-760 sponge mechanism with parallel qRT-PCR, proliferation/apoptosis/migration/invasion assays, knockdown phenotype, target upregulation, rescue, and therapeutic conclusion.","Same miR-760 but different authors, affiliations, diseases, lncRNAs, and target genes; no shared study ID or dataset.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] UBA6-AS1/miR-760/HOXA2 in glioblastoma is substituted for ASB16-AS1/miR-760/HDGF in osteosarcoma. Exact overlap is limited, but the complete masked narrative and mechanism are strongly aligned. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S287676,10.2147/OTT.S240022
G021,33036,32823,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,"The pair shares miR-769 and expected tumor-suppressor claims, but lacks sustained wording, a distinctive shared method sequence, or a matched result scaffold.","Topic similarity only: both study miR-769 and report reduced expression and tumor-suppressive effects, but there is little exact section wording or distinctive structural reuse.","Same miR-769, but different diseases, authors, affiliations, targets, and no shared dataset or protocol.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The pancreatic and colorectal studies could be independent investigations of the same miRNA. Parallel biological claims are expected for a tumor-suppressor miRNA; only one short five-word overlap was found, so template reuse is not confirmed. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S218876,10.2147/OTT.S183847
G022,53802,46068,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,"The same lncRNA and disease make the studies topical neighbors, but their downstream axes, methods emphasis, and result narratives differ materially.","Topic similarity only: same MCM3AP-AS1 and prostate cancer, but distinct Methods, miRNA/target axes, wording, and Results emphasis.","Same molecule and disease, but different authors, affiliations, cell-work descriptions, and downstream axes; no shared cohort, protocol, or dataset is stated.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The pair may be scientifically related, but the abstracts do not show exact Methods/Results reuse or a highly similar masked body. Same-gene/same-disease overlap alone is insufficient for “Possible related duplicate.” Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1186/s12935-020-01365-x,10.2147/OTT.S245537
G023,43945,43944,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,The shared JNK-MIEF1 mitochondrial-fission mechanism is a scientific topic overlap; the study designs and abstract wording are substantially different.,"Shared mechanism only: JNK-MIEF1 mitochondrial fission/division appears in both, but abstract wording and study designs are substantially different.","Both are Beijing/Capital Medical University-associated mechanistic cell studies, but authors, cancers, interventions, and cell lines differ; no shared protocol or dataset is stated.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The mechanistic overlap may reflect related research interests. Only one generic five-word phrase overlaps, and no distinctive Methods or Results block is reused. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1186/s12935-019-0812-3,10.1186/s12935-019-0860-8
G024,53114,43944,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,Shared mitochondrial-fission/YAP vocabulary and routine viability/apoptosis assays do not form a sustained entity-swapped abstract template.,"Topic and assay similarity only: mitochondrial fission, YAP-related signaling, MTT/TUNEL/Western blot, but no sustained text or section reuse.","Both are Beijing-based cell studies, but authors, institutions, cancers, interventions, and pathways differ; no shared dataset or protocol.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] A single similar viability-assay sentence is not enough. The abstracts use different narrative structures and mechanistic claims, so this is not confirmed template reuse. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/OTT.S184337,10.1186/s12935-019-0860-8
G025,70006,31838,Insufficient evidence,Generic title formula only,High,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,"The similarity is confined to a common lncRNA title formula and one aim sentence; the body methods, mechanisms, results, and conclusions are different.","Repeated title formula and one similar aim sentence, but body Methods, Results, targets, pathways, and conclusions are otherwise distinct.","None: different authors, affiliations, diseases, lncRNAs, targets, and no shared study identifier or dataset.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] Both titles use “lncRNA X” plus cell viability/migration/invasion, but CAT104/miR-381/ZEB1 in gastric carcinoma and H19/IRS-1 in thyroid cancer do not share enough body evidence. Headline similarity alone is insufficient. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.3727/096504017x15144748428127,10.1177/1533034617733904
G026,38890,28976,Possible template reuse,Confirmed template reuse,High,Possible template reuse,Original Possible template reuse row,Prior side-by-side review of abstract wording and structure,"The unusual K-Ras G12/T35 mutant design and the same downstream assay order are too specific to be routine field boilerplate, while epigenetic entities are swapped.","Entity-swapped Methods/Results template: both use unusual K-Ras G12/T35 mutant constructs followed by Western blot, MTT, colony-formation, Transwell, ChIP, and RT-qPCR assays, with H2A.XY142ph/WSTF/EYA3 substituted for H3K9ac/HDAC2/PCAF.","None: different authors, institutions, cancers, and histone modifications; no shared protocol, cohort, or dataset is stated.",yes,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The repeated Ras-mutant design and assay order are substantially more specific than shared Ras-ERK topic language. The gastric H2A.XY142ph study and colorectal H3K9ac study swap the epigenetic target and downstream regulators while retaining the same experimental skeleton, so Possible template reuse is preferred. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.1186/s12885-019-5750-x,10.1186/s12885-018-5199-3
G027,56270,45352,Insufficient evidence,No suspicious template reuse,High,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,The same miR-138 topic explains the generic downregulation and tumor-suppressor language; no distinctive Methods or Results block is reused.,"Same miR-138 topic with generic downregulation and tumor-suppressor findings, but no exact Methods/Results reuse or distinctive shared structure.","An author name “Wei Zhang” appears in both, but affiliations and coauthors differ and the name is ambiguous; different cancers and targets, no shared dataset.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] The NSCLC/YAP1 and gastric-cancer/DEK studies use different assays, sample sizes, and result structure. Same miRNA and a common author name do not establish reuse. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.18632/oncotarget.9480,10.2147/CMAR.S253777
G028,32588,32583,Insufficient evidence,No suspicious template reuse,Medium,Insufficient evidence,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,"Both papers concern gastric cancer and the miR-628 family, but they use different strands and molecular axes and show only generic expression/phenotype parallels.","Same disease and miR-628 family with some generic expression/phenotype parallels, but only minimal exact overlap and distinct mechanisms.","Both concern gastric cancer and miR-628, but use different strands/axes, authors, affiliations, and no shared cohort or dataset.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] SNHG16-miR-628-3p-NRP1 and DLGAP1-AS1-miR-628-5p-AEG-1 may be related topics, but the text does not establish same-study duplication or a strong template. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S211856,10.2147/CMAR.S246166
G029,35224,32214,Insufficient evidence,Probable related/derivative reuse,Medium,Needs manual review,Close topical/structural neighbor,Existing pair evidence; publisher abstracts additionally checked for G029-G030,"Full source abstracts show the same TSCC miR-493/HMGA2 axis, overlapping assay progression, and a later lncRNA study that extends the earlier miRNA study. This is stronger than ordinary topic overlap, but the shared biological axis makes pure template reuse difficult to separate from a derivative study.","The title indicates the same TSCC miR-493/HMGA2 axis, but abstract A is truncated and does not provide enough Methods or Results text for comparison.","Same disease and molecular axis, but different authors and affiliations; no shared study identifier is visible.",no,"[Origin: ChatGPT draft, verified against source CSV - record IDs/DOIs/quoted text confirmed accurate] Record 35224 contains only fragments (“Long intergenic… First… These findings…”). Because both abstracts cannot be read in full from the supplied field, no reuse or related-duplicate class can be confirmed. Retraction Watch validation: both source records list Paper Mill among the retraction reasons; this is corroborative context only and does not replace the pairwise text/structure evidence.",10.2147/CMAR.S282625,10.2147/OTT.S210567
